name,director,producer,Importer,Distributor,date,year,month,country,screen,audience,genre,limit,actor1,actor2,actor3,star
극비수사,곽경택,"(주)제이콘컴퍼니,(주)영화사신세계",,(주)쇼박스,2015-06-18,2015,6,한국,894,2860786,드라마,15세이상관람가,김윤석,유해진,,8.09
1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,2017,12,한국,1299,7231770,드라마,15세이상관람가,김윤석,하정우,유해진,9.25
검은사제들,장재현,영화사집,,씨제이이앤엠(주),2015-11-05,2015,11,한국,1088,5440945,미스터리,15세이상관람가,김윤석,강동원,,8.31
도둑들,최동훈,(주)케이퍼필름,,(주)쇼박스,2012-07-25,2012,7,한국,1072,12983330,액션,15세이상관람가,김윤석,김혜수,이정재,7.6
화이:괴물을삼킨아이,장준환,"나우필름(주),파인하우스필름(주),(주)쇼박스",,(주)쇼박스,2013-10-09,2013,10,한국,817,2391963,액션,청소년관람불가,김윤석,여진구,조진웅,7.82
남쪽으로튀어,임순례,"(주)영화사거미,필름트레인",,롯데쇼핑㈜롯데엔터테인먼트,2013-02-06,2013,2,한국,428,821918,코미디,15세이상관람가,김윤석,오연수,한예리,7.8
"당신,거기있어줄래요",홍지영,(주)수필름,,롯데쇼핑㈜롯데엔터테인먼트,2016-12-14,2016,12,한국,767,1168625,판타지,12세이상관람가,김윤석,변요한,채서진,8.68
하모니,강대규,(주)제이케이필름,,씨제이엔터테인먼트,2010-01-28,2010,1,한국,405,3068544,드라마,12세이상관람가,김윤진,나문희,강예원,9.06
심장이뛴다,윤재근,"(주)오죤필름,(유)대결문화산업전문회사",,롯데쇼핑㈜롯데엔터테인먼트,2011-01-05,2011,1,한국,445,1006947,드라마,15세이상관람가,김윤진,박해일,,7.54
시간위의집,임대웅,"리드미컬그린(주),자이온이엔티(주),브릿지웍스엔터테인먼트(주),라이브(주)",,"(주)리틀빅픽쳐스,(주)페퍼민트앤컴퍼니",2017-04-05,2017,4,한국,454,124601,미스터리,15세이상관람가,김윤진,택연,조재윤,7.62
이웃사람,김휘,"영화사무쇠팔,플로우식스(주),자이온이엔티(주),(주)누리픽쳐스,히트박스,(주)미스터로맨스",,롯데쇼핑㈜롯데엔터테인먼트,2012-08-22,2012,8,한국,600,2434099,스릴러,청소년관람불가,김윤진,마동석,천호진,7.52
루돌프와많이있어,"유야마쿠니히코,사카키바라모토노리",,씨제이이앤엠(주),씨제이이앤엠(주),2016-12-28,2016,12,일본,375,215993,애니메이션,전체관람가,김율,신용우,홍범기,8.79
극장판빰바라빤쮸:바나나왕국의비밀,벤피네코,,(주)스마일이엔티,(주)스마일이엔티,2017-02-22,2017,2,일본,140,10681,애니메이션,전체관람가,김율,김채하,황원,8.68
약장수,조치언,(주)26컴퍼니,,"(주)대명문화공장,(주)나이너스엔터테인먼트",2015-04-23,2015,4,한국,282,43562,드라마,15세이상관람가,김인권,박철민,이주실,8.61
강철대오:구국의철가방,육상효,스페이스엠(주),,롯데쇼핑㈜롯데엔터테인먼트,2012-10-25,2012,10,한국,366,233211,코미디,15세이상관람가,김인권,유다인,조정석,6.41
전국노래자랑,이종필,(주)인앤인픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2013-05-01,2013,5,한국,581,963634,코미디,12세이상관람가,김인권,류현경,김수미,8
볼츠와블립,피터레페니오티스,"(주)레드로버,툰박스엔터테인먼트",,씨제이이앤엠(주),2012-02-23,2012,2,한국,61,15386,애니메이션,전체관람가,김일,최정호,,7.68
더데이,백창주,(주)씨제스엔터테인먼트,,롯데쇼핑㈜롯데시네마,2012-02-23,2012,2,한국,30,24163,다큐멘터리,전체관람가,김재중,박유천,김준수,8.92
식객2:김치전쟁,"백동훈,김길형",㈜이룸영화사,,롯데쇼핑㈜롯데엔터테인먼트,2010-01-28,2010,1,한국,357,471103,드라마,전체관람가,김정은,진구,왕지혜,7.2
귀鬼,"김조광수,여명준,조은경,홍동명",청년필름(주),,씨제이엔터테인먼트,2010-06-10,2010,6,한국,30,1331911,공포(호러),15세이상관람가,김조광수,여명준,조은경,5.61
적과의동침,박건용,(주)알지엔터웍스,,(주)쇼박스,2011-04-27,2011,4,한국,391,243094,드라마,12세이상관람가,김주혁,정려원,유해진,7.53
투혼,김상진,"㈜감독의집,(주)시네마제니스",,"(주)시너지하우스(시너지),롯데쇼핑㈜롯데엔터테인먼트",2011-10-06,2011,10,한국,356,193724,드라마,전체관람가,김주혁,김선아,오재무,7.94
커플즈,정용기,"시오필름(주),(주)바른손이앤에이",,(주)싸이더스,2011-11-02,2011,11,한국,387,351779,멜로/로맨스,15세이상관람가,김주혁,이시영,이윤지,7.93
방자전,김대우,"(주)바른손이앤에이,시오필름(주),(주)더타워픽쳐스",,씨제이엔터테인먼트,2010-06-02,2010,6,한국,512,3035116,사극,청소년관람불가,김주혁,류승범,조여정,7.37
미운오리새끼,곽경택,(주)트리니티엔터테인먼트,,롯데쇼핑㈜롯데엔터테인먼트,2012-08-30,2012,8,한국,167,45454,드라마,15세이상관람가,김준구,오달수,,8.71
무서운이야기,"정범식,임대웅,홍지영,김곡,김선,민규동","(주)수필름,데이지엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2012-07-25,2012,7,한국,274,331760,공포(호러),청소년관람불가,김지영,정은채,남보라,5.81
닥터,"김성홍,김유정,배현지",(주)노마드필름,,(주)마인스엔터테인먼트,2013-06-20,2013,6,한국,163,68312,스릴러,청소년관람불가,김창완,배소은,박건우,5.66
슈퍼빼꼼:스파이대작전,임아론,(합)알지애니메이션스튜디오,,메가박스중앙(주)플러스엠,2017-05-03,2017,5,한국,358,97005,애니메이션,전체관람가,김태균,최정현,,8.34
리틀포레스트,임순례,(주)영화사수박,,메가박스중앙(주)플러스엠,2018-02-28,2018,2,한국,884,1505512,드라마,전체관람가,김태리,류준열,문소리,8.75
그랑프리,양윤호,(주)네버엔딩스토리,,(주)싸이더스,2010-09-16,2010,9,한국,235,170446,드라마,12세이상관람가,김태희,양동근,,7.28
너는펫,김병곤,컴어나더(주),,롯데쇼핑㈜롯데엔터테인먼트,2011-11-10,2011,11,한국,341,540972,멜로/로맨스,12세이상관람가,김하늘,장근석,,6.25
블라인드,안상훈,(주)문와쳐,,(주)넥스트엔터테인먼트월드(NEW),2011-08-10,2011,8,한국,404,2362906,스릴러,청소년관람불가,김하늘,유승호,,8.09
노아의방주:남겨진녀석들,토비젠켈,,(주)스마일이엔티,씨네그루(주)다우기술,2015-04-30,2015,4,독일,436,219621,애니메이션,전체관람가,김하영,배진홍,윤세웅,8.3
친정엄마,유성엽,"(주)동아수출공사,아일랜드픽처스(주)",,(주)싸이더스,2010-04-22,2010,4,한국,276,478822,드라마,전체관람가,김해숙,박진희,,9.26
베이블레이드버스트갓:갓발키리의탄생,야마구치켄타로,,(주)영실업,씨제이이앤엠(주),2017-06-01,2017,6,일본,198,108896,애니메이션,전체관람가,김현지,한신,김보영,7.46
차이나타운,한준희,폴룩스픽쳐스(주),,CGV아트하우스,2015-04-29,2015,4,한국,551,1472006,범죄,청소년관람불가,김혜수,김고은,엄태구,4.73
미옥,이안규,(주)영화사소중한,,씨네그루(주)키다리이엔티,2017-11-09,2017,11,한국,635,238587,범죄,청소년관람불가,김혜수,이선균,,5.03
굿바이싱글,김태곤,"호두앤유엔터테인먼트(주),(주)영화사람",,(주)쇼박스,2016-06-29,2016,6,한국,841,2108273,코미디,15세이상관람가,김혜수,마동석,김현수,8.1
여중생A,이경섭,"(주)영화사울림,네이버웹툰주식회사",,롯데컬처웍스(주)롯데엔터테인먼트,2018-06-20,2018,6,한국,479,97851,드라마,12세이상관람가,김환희,수호,,6.51
우아한거짓말,이한,"(주)유비유필름,(주)무비락",,CGV아트하우스,2014-03-13,2014,3,한국,555,1613392,드라마,12세이상관람가,김희애,고아성,김유정,8.36
허스토리,민규동,(주)수필름,,(주)넥스트엔터테인먼트월드(NEW),2018-06-27,2018,6,한국,696,329288,드라마,12세이상관람가,김희애,김해숙,,9.34
코쿠리코언덕에서,미야자키고로,,대원미디어(주),씨제이이앤엠(주),2011-09-29,2011,9,일본,227,197408,애니메이션,12세이상관람가,나가사와마사미,오카다준이치,,6.05
육혈포강도단,강효진,(주)전망좋은영화사,,롯데쇼핑㈜롯데엔터테인먼트,2010-03-18,2010,3,한국,319,1233582,코미디,15세이상관람가,나문희,김수미,김혜옥,7.55
아이캔스피크,김현석,"주식회사영화사시선,(주)명필름",,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스",2017-09-21,2017,9,한국,1140,3280243,코미디,12세이상관람가,나문희,이제훈,,9.35
다이애나,올리버히르비겔,,"유성에프이엔터프라이즈(주),(주)퓨어픽쳐스인터내셔널코리아",(주)영화사빅,2014-03-06,2014,3,영국,279,56872,드라마,15세이상관람가,나오미왓츠,,,7.44
사요나라이츠카,이재한,"(주)투베어픽쳐스,(주)스파이로필름",,씨제이엔터테인먼트,2010-04-15,2010,4,한국,31,23605,드라마,청소년관람불가,나카야마미호,니시지마히데토시,이시다유리코,7.5
극장판파워레인저:애니멀포스VS닌자포스미래에서온메시지,타케모토노보루,,대원미디어(주),(주)넥스트엔터테인먼트월드(NEW),2017-11-09,2017,11,일본,370,65895,액션,전체관람가,나카오마사키,야나기미키,난바쇼헤이,8.66
령:저주받은사진,아사토마리,,(주)스톰픽쳐스코리아,(주)스톰픽쳐스코리아,2015-06-04,2015,6,일본,253,35984,공포(호러),15세이상관람가,나카죠아야미,모리카와아오이,고지마후지코,5.15
포레스트:죽음의숲,제이슨자다,,유니버설픽쳐스인터내셔널코리아(유),유니버설픽쳐스인터내셔널코리아(유),2016-03-30,2016,3,미국,312,50631,공포(호러),12세이상관람가,나탈리도머,테일러키니,오자와유키요시,5.1
블랙스완,대런아로노프스키,,이십세기폭스코리아(주),이십세기폭스코리아(주),2011-02-24,2011,2,미국,294,1623199,드라마,청소년관람불가,나탈리포트만,뱅상카셀,밀라쿠니스,8.67
친구와연인사이,이반라이트만,,씨제이엔터테인먼트,씨제이엔터테인먼트,2011-02-10,2011,2,미국,183,267843,코미디,청소년관람불가,나탈리포트만,애쉬튼커쳐,,7.41
킹오브프리즘,히시다마사카즈,,동우에이앤이(주),(주)박수엔터테인먼트,2016-08-11,2016,8,일본,53,103852,애니메이션,12세이상관람가,남도형,엄상현,이원찬,9.22
