,Unnamed: 0,영화명,감독,제작사,수입사,배급사,개봉일,개봉월,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우1,배우2,배우3
961,369,링컨 차를 타는 변호사,브래드 퍼맨,,(주)더블앤조이픽쳐스,씨너스엔터테인먼트(주),2011-06-16,6,미국,241,327612,범죄,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=링컨 차를 타는 변호사%09&section=all&ie=utf8,8.15,매튜맥커너히,마리사토메이,라이언필립
962,467,하늘에서 음식이 내린다면,"필 로드,크리스 밀러",소니 픽쳐스 애니메이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-02-11,2,미국,281,665096,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=하늘에서 음식이 내린다면%09&section=all&ie=utf8,8.15,,,
963,484,하늘에서 음식이 내린다면 2,"코디 카메론,크리스 피언",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-11-21,11,미국,545,800062,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=하늘에서 음식이 내린다면 2%09&section=all&ie=utf8,8.15,,,
964,486,하트 오브 더 씨,론 하워드,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-12-03,12,미국,535,809755,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=하트 오브 더 씨%09&section=all&ie=utf8,8.15,크리스헴스워스,킬리언머피,벤위쇼
965,880,극장판 도라에몽: 진구의 인어대해전,쿠스바 고조,"TV 아사히,토호 컴퍼니",대원미디어(주),씨제이엔터테인먼트,2010-07-28,7,일본,144,264918,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=극장판 도라에몽: 진구의 인어대해전%09&section=all&ie=utf8,8.15,,,
966,1209,플랜맨,성시흡,(주)영화사일취월장,,롯데쇼핑㈜롯데엔터테인먼트,2014-01-09,1,한국,458,632299,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=플랜맨%09&section=all&ie=utf8,8.15,정재영,한지민,
967,34,킥 애스 2 : 겁없는 녀석들,제프 와드로,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-10-17,10,미국,152,12827,액션,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=킥 애스 2 : 겁없는 녀석들%09&section=all&ie=utf8,8.16,클로이모레츠,애런존슨,짐캐리
968,222,맨 프롬 UNCLE,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-10-28,10,미국,361,108551,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=맨 프롬 UNCLE%09&section=all&ie=utf8,8.16,헨리카빌,아미해머,휴그랜트
969,656,맨 인 블랙 3,배리 소넨필드,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-05-24,5,미국,770,3379762,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=맨 인 블랙 3%09&section=all&ie=utf8,8.16,,,
970,720,토마스와 친구들: 그레이트 레이스,데이비드 스토튼,,KBS 미디어,와이드 릴리즈(주),2017-11-30,11,영국,249,13314,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=토마스와 친구들: 그레이트 레이스%09&section=all&ie=utf8,8.16,마크모라한,존하슬러,
971,1305,기억의 밤,장항준,(주)비에이엔터테인먼트,,"메가박스중앙(주)플러스엠,주식회사 키위컴퍼니",2017-11-29,11,한국,751,1387599,미스터리,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=기억의 밤%09&section=all&ie=utf8,8.16,강하늘,김무열,
972,220,제로 다크 서티,캐서린 비글로우,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2013-03-07,3,미국,258,107104,전쟁,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=제로 다크 서티%09&section=all&ie=utf8,8.17,조엘에저튼,크리스프랫,제시카차스테인
973,812,밀림의 왕자 레오2,타케우치 요시오,,에이원엔터테인먼트,에이원엔터테인먼트,2012-11-08,11,일본,159,44988,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=밀림의 왕자 레오2%09&section=all&ie=utf8,8.17,츠카야마마사네,이시무라토모코,
