영화명,개봉일,상영횟수,상영점유율
노스페이스,2010-06-02,775,0.00 
스즈미야 하루히의 소실,2010-11-11,774,0.00 
데저트 플라워,2010-04-22,767,0.00 
셉템버 이슈,2010-01-28,752,0.00 
경계도시 2,2010-03-18,747,0.00 
엘 시크레토 : 비밀의 눈동자,2010-11-11,736,0.00 
대부,1973-09-01,729,0.00 
애프터 러브,2010-01-21,727,0.00 
라임라이프,2010-09-02,721,0.00 
춤추는 꿈틀이 밴드,2010-02-04,718,0.00 
테이킹 우드스탁,2010-07-29,694,0.00 
리키,2010-02-04,683,0.00 
퀼,2010-01-07,677,0.00 
잊혀진 가방,2010-07-29,662,0.00 
투 아이즈,2010-08-05,661,0.00 
예스맨 프로젝트,2010-03-25,640,0.00 
채식주의자,2010-02-18,634,0.00 
레퓨지,2010-07-15,611,0.00 
존 레논 비긴즈-노웨어 보이,2010-12-09,601,0.00 
할,2010-10-14,592,0.00 
여의도,2010-12-02,590,0.00 
미 투,2010-04-15,588,0.00 
믿음의 승부,2010-04-15,582,0.00 
돈 조반니,2010-10-14,581,0.00 
소라닌,2010-08-26,578,0.00 
선라이즈 선셋,2010-05-13,553,0.00 
시리어스 맨,2010-03-25,537,0.00 
속 대부,1978-04-20,536,0.00 
회오리 바람,2010-02-25,533,0.00 
라이브 인 3D 휘성 : 잇츠 리얼,2010-09-30,511,0.00 
도쿄택시,2010-05-20,505,0.00 
2009 일본 인디필름 페스티벌,,490,0.00 
하트 비트,2010-11-25,487,0.00 
"땡큐, 마스터 킴",2010-09-02,481,0.00 
유윌 미스 미,2010-02-11,480,0.00 
노라 없는 5일,2010-10-21,479,0.00 
영도 다리,2010-07-01,455,0.00 
어둠의 아이들,2010-03-25,455,0.00 
이파네마 소년,2010-11-04,453,0.00 
크랙,2010-07-28,448,0.00 
아버지를 마지막으로 본 것은 언제입니까?,2010-05-27,446,0.00 
클래스,2010-04-01,442,0.00 
레인보우,2010-11-18,439,0.00 
하우 투 비,2010-01-28,430,0.00 
계몽영화,2010-09-16,428,0.00 
살인의 강,2010-09-30,423,0.00 
하얀 아오자이,2010-02-25,415,0.00 
이웃집 좀비,2010-02-18,411,0.00 
판타스틱 Mr. 폭스,2009-12-24,409,0.00 
파코와 마법 동화책,2010-07-22,408,0.00 
로마에서 생긴 일,2010-04-08,399,0.00 
어웨이 위 고,2010-02-04,399,0.00 
나쁜 놈이 더 잘 잔다,2010-06-24,391,0.00 
"시네도키, 뉴욕",2010-01-07,387,0.00 
크레이지 하트,2010-03-04,385,0.00 
땅의 여자,2010-09-09,382,0.00 
불청객,2010-09-30,372,0.00 
바비,2010-02-04,365,0.00 
참새들의 합창,2010-05-05,365,0.00 
내 첫사랑을 너에게 바친다,2010-08-05,360,0.00 
토일렛,2010-12-02,360,0.00 
노 임팩트 맨,2010-06-17,354,0.00 
애즈 갓 커맨즈,2010-04-01,351,0.00 
그 남자가 아내에게,2010-08-26,351,0.00 
하프웨이,2010-04-29,349,0.00 
사이즈의 문제,2010-04-15,346,0.00 
서서 자는 나무,2010-12-09,344,0.00 
크리스마스 스타!,2010-12-23,343,0.00 
하얀리본,2010-07-01,336,0.00 
2AM SHOW,2010-12-09,320,0.00 
여배우들,2009-12-10,319,0.00 
나는 나비,2010-12-02,319,0.00 
아이언맨,2008-04-30,315,0.00 
닌자 어쌔신,2009-11-26,315,0.00 
우리 만난 적 있나요,2010-11-25,312,0.00 
리틀 디제이,2010-03-11,307,0.00 
2012,2009-11-12,305,0.00 
이그잼,2010-11-11,300,0.00 
키사라기 미키짱,2010-02-11,298,0.00 
당신을 오랫동안 사랑했어요,2010-01-07,290,0.00 
리미츠 오브 컨트롤,2010-08-12,286,0.00 
탈주,2010-09-02,282,0.00 
뉴 문,2009-12-02,281,0.00 
브라보! 재즈 라이프,2010-12-16,277,0.00 
"토이 스토리 1,2",2010-05-05,276,0.00 
노르웨이의 숲,2010-09-30,273,0.00 
모범시민,2009-12-10,270,0.00 
이웃집 남자,2010-03-18,267,0.00 
아웃레이지,2010-12-02,259,0.00 
브라더후드,2010-11-18,259,0.00 
반드시 크게 들을 것,2010-04-22,256,0.00 
서태지밴드 라이브 투어 <더 뫼비우스>,2010-05-21,251,0.00 
우리 의사 선생님,2010-04-29,250,0.00 
초합금 로보트 쏠라 123,2010-05-01,247,0.00 
꽃비,2010-04-01,245,0.00 
언 애듀케이션,2010-03-18,243,0.00 
미녀들의 전쟁,2010-06-24,241,0.00 
허리우드극장-그곳엔 추억이 있다,,241,0.00 
바흐 이전의 침묵,2010-10-21,229,0.00 
레이징 피닉스,2010-03-25,228,0.00 
엉클 분미,2010-09-16,227,0.00 
원 나잇 스탠드,2010-05-04,227,0.00 
샤인 어 라이트(1st 지드래곤 콘서트),2010-04-15,227,0.00 
사랑하고 싶은 시간,2010-12-02,223,0.00 
"러블리, 스틸",2010-12-23,217,0.00 
소규모 아카시아 밴드 이야기,2010-01-14,214,0.00 
클라라,2010-12-16,211,0.00 
킥 오프,2010-07-08,211,0.00 
사사건건,2010-01-21,209,0.00 
하녀,1960-11-03,205,0.00 
제2회 CGV-바자패션필름페스티벌,2010-09-01,204,0.00 
아쉬람,2010-02-25,188,0.00 
퍼머넌트 노바라,2010-11-04,178,0.00 
춤추는 동물원,2010-12-02,175,0.00 
축구의 신: 마라도나,2010-06-03,175,0.00 
