영화명,개봉일,상영횟수,상영점유율
기념촬영+ 엔딩노트,,1,0.00 
the Mother+서칭포슈가맨,,1,0.00 
여성+노동,,1,0.00 
치어리더는 모두 죽는다,2014-11-13,1,0.00 
기동경찰 패트레이버 극장판 Vol. 2,,1,0.00 
런어웨이걸의 정사,2014-04-16,1,0.00 
새출발,,1,0.00 
킹 오브 썸머,2015-07-09,1,0.00 
영주의 애인,2014-04-17,1,0.00 
인간 vs 쓰레기,,1,0.00 
얀 베르트랑의 여행: 목마른 대지,,1,0.00 
워터마크,,1,0.00 
타르 + 휴먼 익스페리먼트,,1,0.00 
그린 파노라마 단편 2,,1,0.00 
타니타 직원식당의 다이어트 레시피,,1,0.00 
탑캣: 뉴욕 대소동,2014-04-24,1,0.00 
유언,,1,0.00 
베아트리스의 전쟁,,1,0.00 
내가 마지막 본 마카오,,1,0.00 
몽유의 땅,,1,0.00 
영혼의 나무,,1,0.00 
죽을 수 없는,,1,0.00 
바이 바이 브라질,,1,0.00 
센트로 히스토리코,,1,0.00 
버터 램프 + 에코폴리스 차이나,,1,0.00 
해피니스,,1,0.00 
한국 환경영화의 흐름 단편 3,,1,0.00 
젊은 엄마 2,2014-05-29,1,0.00 
드루이드 피크,,1,0.00 
동물과 함께 사는 세상 단편,,1,0.00 
미나의 비밀 섹스,2014-04-23,1,0.00 
주말,,1,0.00 
F.O.E.: 에프.오.이.,2014-04-24,1,0.00 
"가자, 장미여관으로 무삭제 감독판",,1,0.00 
마지막 파티,2014-04-29,1,0.00 
소녀의 음란한 밀회,2014-04-29,1,0.00 
AV배우였던 아내의 비밀,,1,0.00 
순진한 예비신부의 학원정사,,1,0.00 
추격,2014-04-24,1,0.00 
조교부부교실,2014-05-28,1,0.00 
편의점 여알바,2014-05-21,1,0.00 
절정의 훔쳐보기,2014-05-14,1,0.00 
폭유! 과격한 관계,2014-05-07,1,0.00 
탈의실습격사건,2014-05-07,1,0.00 
러버스 가이드,,1,0.00 
팀퍼틸 아이들,2014-07-10,1,0.00 
레퀴엠 포 어 킬러,2014-07-11,1,0.00 
음악으로 통한다 2014 : 피아노 듀오 콘서트 + 세상의 모든 아침,,1,0.00 
에브리 잭 해즈 어 질,2014-05-29,1,0.00 
닌자걸의 정사,2014-05-08,1,0.00 
감금의 제국,2014-05-14,1,0.00 
도쿄 엘리베이터걸,2014-06-04,1,0.00 
리치힐,,1,0.00 
5월 수요단편극장-우리 이웃의 사정,,1,0.00 
음란한 밀회-이웃집 유부녀,2014-05-29,1,0.00 
유부녀워칭-무삭제,2014-05-22,1,0.00 
뱀파이어걸의 정사,2014-05-14,1,0.00 
월 스트리트: 분노의 복수,2014-05-15,1,0.00 
파라다이스,2014-05-15,1,0.00 
킹 켈리,2014-05-29,1,0.00 
인 더 네임 오브,,1,0.00 
텔아비브의 여름,,1,0.00 
투 머더즈,,1,0.00 
친구사이 특별전 단편,,1,0.00 
2014 SeLFF 밤샘상영 G나이트,,1,0.00 
2014 SeLFF 밤샘상영 L나이트,,1,0.00 
온리 포 유,2014-05-22,1,0.00 
파업전야,,1,0.00 
인디애니씨앗터 2월,,1,0.00 
정사의 시작,2014-02-02,1,0.00 
순결한 키리코의 정사,2014-02-20,1,0.00 
충격! 번개 스와핑,2014-02-13,1,0.00 
재팬아나운서 나나세,2014-03-13,1,0.00 
폭유!수영교실,2014-03-06,1,0.00 
3억원에 낙찰된 여자,2014-04-16,1,0.00 
유부녀의 상상간음,2014-04-09,1,0.00 
유우나의 부드러운 사랑,2014-04-02,1,0.00 
유미카의 음란한 입사시험,,1,0.00 
아로마 마사지의 유혹,2014-03-19,1,0.00 
수영복 불륜정사,2014-03-13,1,0.00 
메이드하녀-금단의봉사,2014-03-06,1,0.00 
노리개 시즈카 부인,2014-02-27,1,0.00 
나오코의 신혼생활 백서,2014-02-20,1,0.00 
그녀의 팬티스타킹,2014-02-13,1,0.00 
소울 오브 락,2014-02-08,1,0.00 
<인디다큐페스티발 정기상영회 ‘SIDOF 발견과 주목’ 2월 프로그램 _ 할망바다 / 상 / 철의 시대>,,1,0.00 
시험에 들지말게 하옵시며!!,,1,0.00 
독립영화의 재발견 30회,,1,0.00 
인디애니씨앗터 3월,,1,0.00 
차우세스쿠의 마지막 순간,,1,0.00 
여성은 영웅이다,,1,0.00 
S/N,,1,0.00 
홈 스위트 홈,2014-02-27,1,0.00 
죽도록 아름다운 세상,2014-02-27,1,0.00 
<3월 금요단편극장-죽거나 혹은 나쁘거나>,,1,0.00 
배틀로얄 극악소년원,2014-03-11,1,0.00 
불량경찰4: 부정부패소탕작전,2014-03-06,1,0.00 
독립영화의 재발견 31회 - 이무상 감독 단편展,,1,0.00 
사이보그프린세스,2014-03-13,1,0.00 
스콜피온 인 러브,2014-03-21,1,0.00 
교수님의 은밀한 강요,2014-03-19,1,0.00 
신혼부부 원룸 생활기,,1,0.00 
인디포럼 월례비행 3월,,1,0.00 
조교신세계,2014-04-09,1,0.00 
그녀의 은밀한 향기,2014-04-02,1,0.00 
선배 애인의 유혹,2014-04-02,1,0.00 
카니발 - 피의 만찬,2014-03-27,1,0.00 
트래픽,,1,0.00 
퍼레이드,,1,0.00 
달콤한 영화 with 쇼콜라티에 고영주,,1,0.00 
인디애니씨앗터 4월,,1,0.00 
4월 수요단편극장-소녀로 살기는 힘들어,,1,0.00 
불륜 현장,2014-04-02,1,0.00 
러브멘토,2014-04-17,1,0.00 
나이트 오브 더 데드,2014-04-17,1,0.00 
2014 영화의전당 영화제작 워크숍 상영회,,1,0.00 
그녀들의 사생활,2014-04-30,1,0.00 
불륜 온천 여행,2014-04-23,1,0.00 
도쿄 파이브 걸,2014-04-16,1,0.00 
SIDOF2014 폐막식,,1,0.00 
5월 인디애니씨앗터 32회 - 아이는 그렇게 어른이 된다,,1,0.00 
6월 인디애니씨앗터 33회 - 비밀의 정원,,1,0.00 
"금지된 섹스, 불륜 무삭제 감독판",,1,0.00 
디지털 삼인삼색 2001,,1,0.00 
디지털 삼인삼색 2002,,1,0.00 
의미의 탐색 : 디지털 삼인삼색 2003,,1,0.00 
거울에 비친 마음 : 디지털 삼인삼색2004,,1,0.00 
베요네타-블러디 페이트,2014-04-09,1,0.00 
기동경찰 패트레이버 3: 폐기물 13호,,1,0.00 
여동생의 금지된 욕망,,1,0.00 
마이 와이프의 은밀한 제안,2014-04-10,1,0.00 
기동경찰 패트레이버,,1,0.00 
천안함 프로젝트,2013-09-05,1,0.00 
까미유 끌로델,1989-11-11,1,0.00 
그리고 신은 여자를 창조했다,1989-02-04,1,0.00 
전구 음모이론,,1,0.00 
로빈슨 주교의 두 가지 사랑,2013-11-14,1,0.00 
타이치0 3D,2013-07-04,1,0.00 
연애의 기술,2013-10-30,1,0.00 
도둑,2014-05-01,1,0.00 
연애희곡,,1,0.00 
숨바꼭질,,1,0.00 
슈퍼피쉬 - 끝없는 여정,2013-07-11,1,0.00 
거짓말 섹스가 좋아,2013-07-04,1,0.00 
플레이스 비욘드 더 파인즈,2013-08-01,1,0.00 
뇌남,2014-02-27,1,0.00 
크로싱 오버,2014-05-29,1,0.00 
밀크 오브 소로우-슬픈 모유,2013-08-22,1,0.00 
더 트루스: 무언의 제보자,2014-08-21,1,0.00 
이토록 긴 하루 : 디지털 삼인삼색2008,,1,0.00 
황금대겁안,2014-08-30,1,0.00 
스카페이스,1984-12-08,1,0.00 
소원,2013-10-02,1,0.00 
쇼를 사랑한 남자,2013-10-09,1,0.00 
다크 스톰,,1,0.00 
해피니스 네버 컴즈 얼론,,1,0.00 
토마스와 친구들: 블루마운틴 미스터리,2013-10-17,1,0.00 
미스터 노바디,2013-10-24,1,0.00 
버틀러: 대통령의 집사,2013-11-28,1,0.00 
사라진 기억,2013-12-12,1,0.00 
스파이크,2013-12-05,1,0.00 
붉은 가족,2013-11-06,1,0.00 
섹스중독자들,2013-11-21,1,0.00 
라이프 오브 브라이언,,1,0.00 
화이트 스완,2013-12-19,1,0.00 
베니스영화제 스케치,,1,0.00 
베니스 70 : 미래 재장전,,1,0.00 
예언: 파솔리니의 아프리카,,1,0.00 
네오리얼리즘 강의,,1,0.00 
신화속의 여인: 할리우드의 안나 마냐니,,1,0.00 
사적 소유는 절도가 아니다,,1,0.00 
황야의 난폭자,,1,0.00 
작은 국가,,1,0.00 
팔레르모의 결투,,1,0.00 
용감무쌍,,1,0.00 
조금야한옆집유부녀,,1,0.00 
유미코의 간호정사,,1,0.00 
유부녀 감금일기,2014-01-22,1,0.00 
울면서 달리기,,1,0.00 
포스터,2013-12-19,1,0.00 
2014년 1월 인디애니씨앗터 아빠와 크레파스,,1,0.00 
마지막 떡국열차,2014-01-08,1,0.00 
1월 금요단편극장-신작전,,1,0.00 
2월 금요단편극장-애니식스,,1,0.00 
코드네임 더 몰,2014-01-09,1,0.00 
' 제 29회 독립영화의 재발견 ',,1,0.00 
여직원의 도발과 불륜,,1,0.00 
무간지옥 - 아웃 오브 인페르노,2014-01-22,1,0.00 
하녀방의 특별서비스,,1,0.00 
호텔플라워즈,2014-02-08,1,0.00 
치한전철 속 불륜,2014-01-25,1,0.00 
쇼킹잡 - 원스 어폰 어 포르노,2014-02-06,1,0.00 
기억속에 퍼즐,2014-01-23,1,0.00 
연애의 기술 감독판,,1,0.00 
현모양처,,1,0.00 
창호의 여행,,1,0.00 
오직 그대만,2011-10-20,1,0.00 
누나,2013-01-03,1,0.00 
인어공주,1991-12-21,1,0.00 
두더지,2013-10-31,1,0.00 
인사이더,2000-03-11,1,0.00 
수용소의 삶 : 디지털 삼인삼색 2007,2007-11-29,1,0.00 
키스 오브 드래곤,2001-11-23,1,0.00 
베로니카의 이중생활,1991-11-09,1,0.00 
황금시대,2009-09-10,1,0.00 
철마류-가두살수,1996-04-20,1,0.00 
파라노말 액티비티,2010-01-13,1,0.00 
화이트,1994-06-18,1,0.00 
인도차이나,1992-07-11,1,0.00 
미란다: 8요일의 여자,1994-08-20,1,0.00 
후라이드 그린 토마토,1992-12-12,1,0.00 
레인맨,1989-05-05,1,0.00 
블러드 심플,,1,0.00 
윌로씨의 휴가,2008-07-01,1,0.00 
바람불어 좋은 날,1980-11-27,1,0.00 
매드맥스,1980-07-26,1,0.00 
황금 투구,,1,0.00 
스튜던트 서비스,2014-05-30,1,0.00 
어머니,2012-04-05,1,0.00 
장화신은 고양이 디 오리지널,2012-05-03,1,0.00 
레드마리아,2012-04-26,1,0.00 
장고:분노의 추적자,2013-03-21,1,0.00 
나는 공무원이다,2012-07-12,1,0.00 
두 번의 결혼식과 한 번의 장례식,2012-06-21,1,0.00 
마지막 지하철,,1,0.00 
죽지않아,2013-08-08,1,0.00 
훌리오와 에밀리아,2012-08-30,1,0.00 
지구 반대편의 초상,,1,0.00 
이웃사람,2012-08-22,1,0.00 
하나안,2012-10-11,1,0.00 
웰랑 뜨레이,,1,0.00 
4월 9일,,1,0.00 
심플 라이프,2012-11-22,1,0.00 
위 아더 나이트,2014-11-27,1,0.00 
"달리는 꿈의 상자, 모모",,1,0.00 
테이크 쉘터,2013-04-18,1,0.00 
리틀 제이콥,2012-11-08,1,0.00 
달팽이의 별,2012-03-22,1,0.00 
언싱커블,2014-04-23,1,0.00 
자매별곡,,1,0.00 
카페,2013-04-11,1,0.00 
폭풍의 언덕,2012-06-28,1,0.00 
불량변호사,2015-01-01,1,0.00 
마이 리틀 히어로,2013-01-09,1,0.00 
비러브드,2013-02-14,1,0.00 
러브 코메,,1,0.00 
퍼스트 나이트,2014-02-06,1,0.00 
신세계,2013-02-21,1,0.00 
마더스 데이,2014-05-30,1,0.00 
"지난 여름, 갑자기 남쪽으로 간다",,1,0.00 
고스트바스터즈,1984-12-22,1,0.00 
헤멜,2014-11-27,1,0.00 
환상의 빛,2016-07-07,1,0.00 
거대한 환상,,1,0.00 
러브 액츄얼리,2003-12-05,1,0.00 
모래가 흐르는 강,2013-03-28,1,0.00 
햇빛과 사이렌,,1,0.00 
유주얼 서스펙트,1996-01-27,1,0.00 
공정사회,2013-04-18,1,0.00 
폭풍우 치는 밤에: 비밀 친구,2013-05-01,1,0.00 
"양 한 마리, 양 두 마리",2011-12-01,1,0.00 
좋아서 만든 영화,2009-12-17,1,0.00 
망종,2006-03-24,1,0.00 
캐릭터,2011-11-17,1,0.00 
김복남 살인사건의 전말,2010-09-02,1,0.00 
사람은 무엇으로 사는가,2010-01-26,1,0.00 
오월愛,2011-05-12,1,0.00 
민들레,,1,0.00 
더 리더: 책 읽어주는 남자,2009-03-26,1,0.00 
샤이닝,,1,0.00 
스페어,2008-08-28,1,0.00 
허수아비들의 땅,2009-04-30,1,0.00 
너를 보내는 숲,2008-04-24,1,0.00 
24 시티,2009-01-29,1,0.00 
카뮈 따윈 몰라,2007-04-19,1,0.00 
레이디 채털리,2007-07-11,1,0.00 
러브 인 클라우즈,2008-12-31,1,0.00 
타짜,2006-09-28,1,0.00 
오아시스,2002-08-14,1,0.00 
둘 하나 섹스,2002-09-19,1,0.00 
방자전,2010-06-02,1,0.00 
쇼킹패밀리,2008-05-08,1,0.00 
타인의 취향,2001-07-14,1,0.00 
궤도,2008-07-11,1,0.00 
낮술,2009-02-05,1,0.00 
번지점프를 하다,2001-02-02,1,0.00 
시,2010-05-13,1,0.00 
세 발 까마귀,,1,0.00 
음란서생,2006-02-23,1,0.00 
아무도 모른다,2005-04-01,1,0.00 
하얀리본,2010-07-01,1,0.00 
대부,1973-09-01,1,0.00 
남극의 쉐프,2010-02-11,1,0.00 
스타 트렉: 더 비기닝,2009-05-07,1,0.00 
꼬마 니콜라,2010-01-28,1,0.00 
인어 공주,2004-06-30,1,0.00 
정사2,,1,0.00 
엑스맨: 퍼스트 클래스,2011-06-02,1,0.00 
U.F.O.,2012-05-24,1,0.00 
동백꽃,2005-09-16,1,0.00 
무산일기,2011-04-14,1,0.00 
야스쿠니,2009-08-06,1,0.00 
경계도시 2,2010-03-18,1,0.00 
미스진은 예쁘다,2013-03-14,1,0.00 
플레이타임,,1,0.00 
세가지 색 : 블루,1994-04-23,1,0.00 
"장화, 홍련",2003-06-13,1,0.00 
논짱 도시락,,1,0.00 
순간 그리고 순간 : 디지털 삼인삼색2006,,1,0.00 
지구를 지켜라,2003-04-04,1,0.00 
형사; Duelist,2005-09-08,1,0.00 
마법사들,2006-03-30,1,0.00 
와이키키 브라더스,2001-10-26,1,0.00 
플란다스의 개,2000-02-19,1,0.00 
소명 3 : 히말라야의 슈바이처,2011-04-07,1,0.00 
링컨 차를 타는 변호사,2011-06-16,1,0.00 
마이 스윗 홈 - 국가는 폭력이다,,1,0.00 
밀월도 가는 길,2012-03-08,1,0.00 
새로운 학교-학생인권 이등변삼각형의 빗변 길이는?,,1,0.00 
씨민과 나데르의 별거,2011-10-13,1,0.00 
가시,2012-03-08,1,0.00 
나의 아저씨,,1,0.00 
솜브르,,1,0.00 
양과자점 코안도르,2011-07-28,1,0.00 
샘터분식-그들도 우리처럼,2009-11-26,1,0.00 
할매꽃,2009-03-19,1,0.00 
네 번의 결혼식과 한 번의 장례식,1994-07-16,1,0.00 
바그다드 카페,1993-07-17,1,0.00 
디바,1995-04-22,1,0.00 
누가 로저래빗을 모함했나,1990-08-17,1,0.00 
여왕 마고,1994-10-29,1,0.00 
레드,1994-09-17,1,0.00 
무용,2008-05-22,1,0.00 
전화의 저편,,1,0.00 
대복성,1985-07-14,1,0.00 
동방독응,1987-12-26,1,0.00 
블루스 브라더스,1981-12-20,1,0.00 
보디히트,1982-02-12,1,0.00 
바보선언,1984-03-01,1,0.00 
터미네이터,1984-12-22,1,0.00 
마지막 전투,2000-10-07,1,0.00 
빅,1989-07-15,1,0.00 
"안녕, 사요나라",2005-11-25,1,0.00 
캐치 미 이프 유 캔,2003-01-24,1,0.00 
혐오스런 마츠코의 일생,2007-04-12,1,0.00 
정사,2003-10-31,1,0.00 
화양연화,2000-10-20,1,0.00 
주온 2,2003-09-05,1,0.00 
더 콘서트,2010-11-25,1,0.00 
변방에서 중심으로_독립영화에 대한 특별한 시선,,1,0.00 
용산,,1,0.00 
레즈비언 정치도전기,,1,0.00 
의식,,1,0.00 
인생유전,,1,0.00 
정부,,1,0.00 
토일렛,2010-12-02,1,0.00 
경계도시,,1,0.00 
무셰트,,1,0.00 
인간의 시간,,1,0.00 
세계의 욕망 : 디지털 삼인삼색 2005,,1,0.00 
뜨겁게 젖은 사케의 비밀,2014-12-23,1,0.00 
레즈,,1,0.00 
애니 홀,,1,0.00 
에어플레인,,1,0.00 
블레이드 러너,,1,0.00 
소피의 선택,,1,0.00 
메가포스 군단,2014-11-19,1,0.00 
천국의 문,,1,0.00 
에너미라인,2014-12-11,1,0.00 
황금연못,,1,0.00 
우리에게 내일은 없다,,1,0.00 
아틀란티스 : 바다의 오페라,2014-07-30,1,0.00 
비틀쥬스,,1,0.00 
러브 호텔,2014-09-18,1,0.00 
인력자원부,,1,0.00 
약탈자들,2009-06-18,1,0.00 
휴머니티,,1,0.00 
와일드 영,2014-02-27,1,0.00 
미국 대지진,2014-07-08,1,0.00 
몬티 파이튼의 성배,2011-01-18,1,0.00 
춤추는 동물원,2010-12-02,1,0.00 
부초,,1,0.00 
우리 학교,2007-03-29,1,0.00 
당시,2005-05-20,1,0.00 
무서운 영화 5,2014-07-10,1,0.00 
스패로우,2014-09-25,1,0.00 
계몽영화,2010-09-16,1,0.00 
피아니스트,2002-12-20,1,0.00 
베테랑,2015-08-05,"199,231",0.04 
어벤져스: 에이지 오브 울트론,2015-04-23,"191,778",0.04 
암살,2015-07-22,"175,185",0.03 
내부자들,2015-11-19,"152,347",0.03 
국제시장,2014-12-17,"149,061",0.03 
킹스맨 : 시크릿 에이전트,2015-02-11,"139,988",0.03 
검은 사제들,2015-11-05,"131,159",0.02 
사도,2015-09-16,"124,246",0.02 
쥬라기 월드,2015-06-11,"118,959",0.02 
연평해전,2015-06-24,"114,450",0.02 
마션,2015-10-08,"114,183",0.02 
스물,2015-03-25,"100,161",0.02 
매드 맥스: 분노의 도로,2015-05-14,"98,824",0.02 
분노의 질주: 더 세븐,2015-04-01,"93,612",0.02 
미션 임파서블: 로그네이션,2015-07-30,"89,682",0.02 
히말라야,2015-12-16,"85,720",0.02 
인사이드 아웃,2015-07-09,"84,000",0.02 
인턴,2015-09-24,"81,553",0.02 
조선명탐정 : 사라진 놉의 딸,2015-02-11,"80,499",0.02 
터미네이터 제니시스,2015-07-02,"77,590",0.01 
앤트맨,2015-09-03,"74,649",0.01 
극비수사,2015-06-18,"66,211",0.01 
악의 연대기,2015-05-14,"64,351",0.01 
스파이,2015-05-21,"62,960",0.01 
빅 히어로,2015-01-21,"62,229",0.01 
샌 안드레아스,2015-06-03,"62,016",0.01 
메이즈 러너: 스코치 트라이얼,2015-09-16,"58,725",0.01 
스타워즈: 깨어난 포스,2015-12-17,"58,492",0.01 
위플래쉬,2015-03-12,"56,028",0.01 
탐정 : 더 비기닝,2015-09-24,"54,995",0.01 
더 폰,2015-10-22,"53,599",0.01 
강남 1970,2015-01-21,"53,304",0.01 
장수상회,2015-04-09,"52,928",0.01 
뷰티 인사이드,2015-08-20,"52,619",0.01 
007 스펙터,2015-11-11,"51,940",0.01 
쎄시봉,2015-02-05,"51,744",0.01 
오늘의 연애,2015-01-14,"47,237",0.01 
차이나타운,2015-04-29,"45,137",0.01 
이미테이션 게임,2015-02-17,"44,782",0.01 
미니언즈,2015-07-29,"41,946",0.01 
간신,2015-05-21,"40,580",0.01 
대호,2015-12-16,"40,573",0.01 
그놈이다,2015-10-28,"38,678",0.01 
테이큰 3,2015-01-01,"38,060",0.01 
성난 변호사,2015-10-08,"36,990",0.01 
살인의뢰,2015-03-12,"35,244",0.01 
특종: 량첸살인기,2015-10-22,"31,783",0.01 
열정같은소리하고있네,2015-11-25,"30,459",0.01 
박물관이 살아있다 : 비밀의 무덤,2015-01-14,"30,146",0.01 
하트 오브 더 씨,2015-12-03,"29,219",0.01 
미쓰 와이프,2015-08-13,"28,864",0.01 
허삼관,2015-01-14,"27,645",0.01 
신데렐라,2015-03-19,"27,508",0.01 
마다가스카의 펭귄,2014-12-31,"27,171",0.01 
헝거게임: 더 파이널,2015-11-18,"26,973",0.01 
"님아, 그 강을 건너지 마오",2014-11-27,"26,199",0.01 
헬머니,2015-03-05,"24,846",0.00 
채피,2015-03-12,"24,669",0.00 
무뢰한,2015-05-27,"23,661",0.00 
순수의 시대,2015-03-05,"23,623",0.00 
손님,2015-07-09,"23,404",0.00 
픽셀,2015-07-16,"21,307",0.00 
인시디어스 3,2015-07-09,"20,824",0.00 
내 심장을 쏴라,2015-01-28,"20,042",0.00 
그레이의 50가지 그림자,2015-02-26,"19,227",0.00 
도리화가,2015-11-25,"19,168",0.00 
서부전선,2015-09-24,"18,935",0.00 
기술자들,2014-12-24,"18,808",0.00 
오피스,2015-09-03,"18,575",0.00 
경성학교: 사라진 소녀들,2015-06-18,"18,520",0.00 
위험한 상견례 2,2015-04-29,"18,409",0.00 
극적인 하룻밤,2015-12-03,"18,339",0.00 
인서전트,2015-03-25,"18,214",0.00 
주피터 어센딩,2015-02-05,"16,454",0.00 
소수의견,2015-06-24,"16,273",0.00 
판타스틱 4,2015-08-20,"16,241",0.00 
"협녀, 칼의 기억",2015-08-13,"16,099",0.00 
런 올 나이트,2015-03-19,"15,865",0.00 
치외법권,2015-08-27,"15,297",0.00 
소셜포비아,2015-03-12,"15,162",0.00 
은밀한 유혹,2015-06-04,"14,968",0.00 
투모로우랜드,2015-05-27,"14,640",0.00 
몬스터 호텔 2,2015-12-24,"14,216",0.00 
백 투 더 비기닝,2015-02-26,"13,839",0.00 
화장,2015-04-09,"13,811",0.00 
도라에몽 : 스탠 바이 미,2015-02-12,"13,063",0.00 
연애의 맛,2015-05-07,"12,474",0.00 
더 셰프,2015-11-05,"12,461",0.00 
스파이 브릿지,2015-11-05,"12,434",0.00 
버드맨,2015-03-05,"12,051",0.00 
하늘을 걷는 남자,2015-10-28,"12,015",0.00 
극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,"11,765",0.00 
뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,"11,138",0.00 
함정,2015-09-10,"10,899",0.00 
언브로큰,2015-01-07,"10,780",0.00 
아메리칸 스나이퍼,2015-01-14,"10,769",0.00 
괴물의 아이,2015-11-25,"10,497",0.00 
홈,2015-05-21,"10,484",0.00 
트랜스포터: 리퓰드,2015-10-15,"10,083",0.00 
언프렌디드: 친구삭제,2015-05-07,"9,994",0.00 
레전드,2015-12-10,"9,991",0.00 
나의 절친 악당들,2015-06-25,"9,830",0.00 
패딩턴,2015-01-07,"9,738",0.00 
더 건맨,2015-04-16,"9,352",0.00 
에베레스트,2015-09-24,"9,343",0.00 
워터 디바이너,2015-01-28,"9,179",0.00 
어린왕자,2015-12-23,"9,063",0.00 
팬,2015-10-08,"8,994",0.00 
이터널 선샤인,2005-11-10,"8,908",0.00 
명탐정 코난 : 화염의 해바라기,2015-08-05,"8,877",0.00 
아메리칸 울트라,2015-08-27,"8,634",0.00 
스폰지밥 3D,2015-02-18,"8,415",0.00 
개를 훔치는 완벽한 방법,2014-12-31,"8,008",0.00 
오즈의 마법사: 돌아온 도로시,2015-02-12,"7,787",0.00 
극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,2015-01-14,"7,472",0.00 
기생수 파트1,2015-02-26,"7,405",0.00 
7번째 아들,2015-02-11,"7,396",0.00 
호빗: 다섯 군대 전투,2014-12-17,"7,347",0.00 
조선마술사,2015-12-30,"7,241",0.00 
맨 프롬 UNCLE,2015-10-28,"7,169",0.00 
19곰 테드 2,2015-06-25,"7,147",0.00 
워킹걸,2015-01-07,"7,076",0.00 
뮨: 달의 요정,2015-09-24,"6,895",0.00 
돌연변이,2015-10-22,"6,827",0.00 
셀프/리스,2015-09-10,"6,785",0.00 
포커스,2015-02-26,"6,736",0.00 
다이노 타임,2015-04-30,"6,713",0.00 
존 윅,2015-01-21,"6,653",0.00 
미안해 사랑해 고마워,2015-10-28,"6,541",0.00 
사우스포,2015-12-03,"6,516",0.00 
퇴마: 무녀굴,2015-08-20,"6,463",0.00 
센과 치히로의 행방불명,2002-06-27,"6,434",0.00 
세인트 빈센트,2015-03-05,"6,347",0.00 
시카리오: 암살자의 도시,2015-12-03,"6,261",0.00 
위자,2015-04-16,"6,160",0.00 
미라클 벨리에,2015-08-27,"6,055",0.00 
송 원,2015-04-01,"5,890",0.00 
우먼 인 골드,2015-07-09,"5,801",0.00 
심야식당,2015-06-18,"5,779",0.00 
대니 콜린스,2015-09-30,"5,640",0.00 
빅 아이즈,2015-01-28,"5,500",0.00 
파더 앤 도터,2015-12-10,"5,489",0.00 
노아의 방주: 남겨진 녀석들,2015-04-30,"5,422",0.00 
쓰리 썸머 나잇,2015-07-15,"5,391",0.00 
피치 퍼펙트: 언프리티 걸즈,2015-05-28,"5,381",0.00 
명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,2015-02-12,"5,300",0.00 
비밀,2015-10-15,"5,180",0.00 
기생수 파트2,2015-05-07,"5,118",0.00 
짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,2015-04-23,"5,097",0.00 
지금은맞고그때는틀리다,2015-09-24,"5,055",0.00 
스틸 앨리스,2015-04-29,"4,963",0.00 
위아영,2015-05-14,"4,954",0.00 
주온: 더 파이널,2015-10-01,"4,882",0.00 
아메리칸 셰프,2015-01-07,"4,879",0.00 
더 이퀄라이저,2015-01-28,"4,861",0.00 
드래곤 블레이드,2015-03-12,"4,794",0.00 
한 번 더 해피엔딩,2015-04-08,"4,712",0.00 
포켓몬 더 무비 XY 후파: 광륜의 초마신,2015-12-23,"4,689",0.00 
갤로우즈,2015-09-03,"4,654",0.00 
최강전사 미니특공대 : 새로운 악당의 습격,2015-02-05,"4,610",0.00 
코블러,2015-04-08,"4,534",0.00 
히트맨: 에이전트 47,2015-09-03,"4,501",0.00 
타임 패러독스,2015-01-07,"4,327",0.00 
약장수,2015-04-23,"4,312",0.00 
모데카이,2015-02-18,"4,241",0.00 
다크 플레이스,2015-07-15,"4,160",0.00 
더 비지트,2015-10-15,"4,134",0.00 
극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,2015-11-26,"4,121",0.00 
엑스 마키나,2015-01-21,"4,062",0.00 
이스케이프,2015-11-05,"4,020",0.00 
엘리노어 릭비: 그 남자 그 여자,2015-04-09,"4,013",0.00 
크림슨 피크,2015-11-25,"3,947",0.00 
춘희막이,2015-09-30,"3,940",0.00 
나이트 크롤러,2015-02-26,"3,938",0.00 
령 : 저주받은 사진,2015-06-04,"3,871",0.00 
파울볼,2015-04-02,"3,859",0.00 
스누피: 더 피너츠 무비,2015-12-24,"3,784",0.00 
맥베스,2015-12-03,"3,662",0.00 
내부자들: 디 오리지널,2015-12-31,"3,628",0.00 
러덜리스,2015-07-09,"3,525",0.00 
극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,2015-09-17,"3,522",0.00 
트레이서,2015-03-19,"3,433",0.00 
아델라인 : 멈춰진 시간,2015-10-15,"3,425",0.00 
"웰컴, 삼바",2015-02-18,"3,369",0.00 
상의원,2014-12-24,"3,315",0.00 
빌리와 용감한 녀석들 3,2015-04-30,"3,300",0.00 
성실한 나라의 앨리스,2015-08-13,"3,275",0.00 
추억의 마니,2015-03-19,"3,218",0.00 
팔로우,2015-04-02,"3,199",0.00 
프리덤,2015-11-19,"3,070",0.00 
트래쉬,2015-05-14,"3,037",0.00 
숀더쉽,2015-08-13,"2,937",0.00 
말할 수 없는 비밀,2008-01-10,"2,900",0.00 
인터스텔라,2014-11-06,"2,898",0.00 
"땡큐, 대디",2015-04-23,"2,896",0.00 
위아 유어 프렌즈,2015-11-12,"2,883",0.00 
