"영화명","감독","제작사","수입사","배급사","개봉일","개봉월","국적","전국스크린수","전국관객수","장르","등급","배우1","배우2","배우3","별점","감독점수","제작사점수","수입사점수","배우1점수","배우2점수","배우3점수"
"닥터스트레인지","스콧데릭슨","","월트디즈니컴퍼니코리아(주)","월트디즈니컴퍼니코리아(주)","2016-10-26",10,"미국",1503,5446379,"액션","12세이상관람가","베네딕트컴버배치","틸다스윈튼","치웨텔에지오포",8.71,1856801.33333333,762553.945321993,3043537.52941176,2046494.4,2739483,2738606
"이미테이션게임","모튼틸덤","","(주)미디어로그","메가박스중앙(주)플러스엠","2015-02-17",2,"3국",541,1743774,"드라마","15세이상관람가","베네딕트컴버배치","키이라나이틀리","매튜구드",8.78,1206175,762553.945321993,349169.5,2046494.4,695634.666666667,1743774
"워호스","스티븐스필버그","","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2012-02-09",2,"미국",229,102195,"전쟁","12세이상관람가","베네딕트컴버배치","톰히들스턴","제레미어바인",9.32,615513.5,762553.945321993,1153290.7804878,2046494.4,2479673.5,102195
"미녀와야수","크리스토프갱스","","(주)영화사선","(주)넥스트엔터테인먼트월드(NEW)","2014-06-18",6,"3국",387,315348,"판타지","전체관람가","뱅상카셀","레아세이두","",8.79,315348,762553.945321993,315348,315348,315348,957932.33604336
"반드시잡는다","김홍선","(주)에이디사공육,씨네주유한회사","","(주)넥스트엔터테인먼트월드(NEW)","2017-11-29",11,"한국",565,446379,"스릴러","15세이상관람가","백윤식","성동일","",7.57,1171538.75,446379,1677501.34942085,446379,1679248.25,957932.33604336
"세상에서가장아름다운이별","민규동","(주)수필름","","(주)넥스트엔터테인먼트월드(NEW)","2011-04-20",4,"한국",340,316788,"드라마","15세이상관람가","배종옥","김갑수","김지영",9.3,1588726.25,766181.428571429,1677501.34942085,316788,1041536.5,316788
"비행기","클레이홀","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","2013-12-19",12,"미국",408,233563,"애니메이션","전체관람가","발킬머","테리해처","세드릭더엔터테이너",7.49,233563,762553.945321993,1523331.67741935,233563,233563,233563
"간기남","김형준","(주)트로피엔터테인먼트,㈜더드림앤드픽쳐스","","(주)쇼박스","2012-04-11",4,"한국",356,1246185,"코미디","청소년관람불가","박희순","박시연","주상욱",6.88,1195211.5,1246185,1677501.34942085,542737.333333333,1246185,1246185
"맨발의꿈","김태균","(주)캠프비,(주)쇼박스","","(주)쇼박스","2010-06-24",6,"한국",333,338080,"드라마","전체관람가","박희순","고창석","",9.27,167635.333333333,338080,1677501.34942085,542737.333333333,338080,957932.33604336
"혈투","박훈정","(주)영화사비단길","","(주)싸이더스","2011-02-24",2,"한국",169,43947,"액션","15세이상관람가","박희순","진구","고창석",5.25,2209793.6,2134935,1677501.34942085,542737.333333333,1484094.4,1468567.75
"뷰티풀투모로우","장재혁","(주)글러브엔터테인먼트","","씨제이씨지브이(CJCGV)(주)","2017-10-26",10,"한국",47,63279,"드라마","12세이상관람가","박효신","정재일","",9.28,63279,63279,1677501.34942085,63279,63279,957932.33604336
"치즈인더트랩","김제영","(주)마운틴무브먼트스토리","","(주)리틀빅픽쳐스","2018-03-14",3,"한국",364,229005,"멜로/로맨스","15세이상관람가","박해진","오연서","박기웅",5.22,240740,229005,1677501.34942085,229005,229005,229005
"은교","정지우","정지우필름,㈜렛츠필름","","롯데쇼핑㈜롯데엔터테인먼트","2012-04-25",4,"한국",521,1346274,"멜로/로맨스","청소년관람불가","박해일","김무열","김고은",7.09,917085.5,1346274,1677501.34942085,2339937.4,1366936.5,888792
"최종병기활감독확장판","김한민","(주)디씨지플러스,(주)다세포클럽","","롯데쇼핑㈜롯데엔터테인먼트","2011-10-20",10,"한국",52,11547,"사극","청소년관람불가","박해일","류승룡","김무열",7.92,8364068.33333333,3739261.5,1677501.34942085,2339937.4,3704344.16666667,2772007.66666667
"최종병기활","김한민","(주)디씨지플러스,(주)다세포클럽","","롯데쇼핑㈜롯데엔터테인먼트","2011-08-10",8,"한국",615,7466976,"사극","15세이상관람가","박해일","류승룡","김무열",7.92,8364068.33333333,3739261.5,1677501.34942085,2339937.4,3704344.16666667,2772007.66666667
"고령화가족","송해성","(주)인벤트스톤","","씨제이이앤엠(주)","2013-05-09",5,"한국",583,1139250,"드라마","15세이상관람가","박해일","윤제문","공효진",8.08,1355341,685633,1677501.34942085,2339937.4,648019.333333333,1139250
"제보자","임순례","(주)영화사수박","","메가박스중앙(주)플러스엠","2014-10-02",10,"한국",676,1735640,"드라마","12세이상관람가","박해일","유연석","이경영",8.32,1354356.66666667,1395207.5,1677501.34942085,2339937.4,753895.25,495245.75
"내남자의순이","김호준","여해엔터테인먼트,㈜프레임에이치컨텐츠그룹","","(주)새인컴퍼니","2010-05-27",5,"한국",100,10618,"코미디","15세이상관람가","박해미","신이","이태성",4.75,10618,10618,1677501.34942085,10618,10618,10618
"두개의달","김동빈","(주)고스트픽처스,(주)주피터필름,롯데쇼핑㈜롯데엔터테인먼트","","롯데쇼핑㈜롯데엔터테인먼트","2012-07-12",7,"한국",347,425972,"공포(호러)","15세이상관람가","박한별","김지석","박진주",6.98,425972,425972,1677501.34942085,425972,301753.5,425972
"음치클리닉","김진영","(주)전망좋은영화사","","롯데쇼핑㈜롯데엔터테인먼트","2012-11-29",11,"한국",360,338168,"멜로/로맨스","12세이상관람가","박하선","윤상현","",6.91,1135495.33333333,1075550.5,1677501.34942085,338168,338168,957932.33604336
"또하나의약속","김태윤","(주)또하나의가족제작위원회,(주)에이트볼픽쳐스","","(주)오에이엘","2014-02-06",2,"한국",192,489409,"드라마","12세이상관람가","박철민","윤유선","김규리",9.26,1455069,489409,1677501.34942085,489409,489409,489409
"5백만불의사나이","김익로","(주)하리마오픽쳐스,(주)제이와이피엔터테인먼트,(주)바른손이앤에이","","씨제이이앤엠(주)","2012-07-19",7,"한국",331,104736,"코미디","15세이상관람가","박진영","조성하","민효린",4.98,104736,104736,1677501.34942085,104736,104736,2501143.5
"귀향","조정래","주식회사제이오엔터테인먼트코리아","","(주)와우픽쳐스","2016-02-24",2,"한국",876,3586523,"드라마","15세이상관람가","박지희","강하나","서미지",7.81,3586523,3586523,1677501.34942085,3586523,3586523,3586523
"달빛길어올리기","임권택","(재)전주국제영화제조직위원회","","(주)쇼박스,씨제이이앤엠(주),롯데쇼핑㈜롯데엔터테인먼트","2011-03-17",3,"한국",128,57186,"드라마","15세이상관람가","박중훈","강수연","예지원",6.96,57186,57186,1677501.34942085,444495,57186,57186
"체포왕","임찬익","(주)씨네이천","","롯데쇼핑㈜롯데엔터테인먼트","2011-05-04",5,"한국",407,831804,"코미디","15세이상관람가","박중훈","이선균","",7.74,831804,2467315.66666667,1677501.34942085,444495,1889658,957932.33604336
"변산","이준익","변산문화산업전문(유)","","메가박스중앙(주)플러스엠","2018-07-04",7,"한국",763,473333,"드라마","15세이상관람가","박정민","김고은","",7.69,2290885.71428571,473333,1677501.34942085,473333,815505.2,957932.33604336
"비밥바룰라","이성재","영화사김치(주)","","씨네그루(주)키다리이엔티","2018-01-24",1,"한국",347,46819,"코미디","12세이상관람가","박인환","신구","임현식",9.01,46819,346615.5,1677501.34942085,46819,624197.5,46819
"파파","한지승","상상필름(주)","","롯데쇼핑㈜롯데엔터테인먼트","2012-02-01",2,"한국",414,562156,"가족","12세이상관람가","박용우","고아라","",8.12,562156,1284070.25,1677501.34942085,1213282,595366,957932.33604336
"아이들...","이규만","(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트","","롯데쇼핑㈜롯데엔터테인먼트","2011-02-17",2,"한국",504,1864408,"범죄","15세이상관람가","박용우","류승룡","성동일",7.87,1864408,1864408,1677501.34942085,1213282,3704344.16666667,1042835
"헤드","조운","(주)이든픽쳐스","","(주)에스비에스콘텐츠허브","2011-05-26",5,"한국",196,61414,"액션","청소년관람불가","박예진","백윤식","류덕환",4.85,61414,61414,1677501.34942085,64207.5,665291,61414
"Mr.아이돌","라희찬","데이지엔터테인먼트","","롯데쇼핑㈜롯데엔터테인먼트,(주)시너지하우스(시너지)","2011-11-03",11,"한국",311,67001,"드라마","12세이상관람가","박예진","지현우","김수로",7.29,67001,417986,1677501.34942085,64207.5,67001,67001
"극장판짱구는못말려:습격!!외계인덩덩이","하시모토마사카즈","","씨제이이앤엠(주)","씨제이이앤엠(주)","2017-07-20",7,"3국",547,333082,"애니메이션","전체관람가","박영남","양정화","",8.68,206303,762553.945321993,1018967.20634921,333082,305998,957932.33604336
"박수건달","조진규","주식회사제이앤피,박수건달문화산업전문(유),(주)쇼박스","","(주)쇼박스","2013-01-09",1,"한국",599,3893216,"코미디","15세이상관람가","박신양","김정태","엄지원",8.09,3893216,3893216,1677501.34942085,3893216,1973833,3893216
"청년경찰","김주환","(주)무비락,(주)도서관옆스튜디오,베리굿스튜디오(주)","","롯데쇼핑㈜롯데엔터테인먼트","2017-08-09",8,"한국",1102,5636259,"액션","15세이상관람가","박서준","강하늘","",8.36,5636259,5636259,1677501.34942085,5636259,4028494,957932.33604336
