"영화명","감독","제작사","수입사","배급사","개봉일","개봉월","국적","전국스크린수","전국관객수","장르","등급","배우1","배우2","배우3","별점","감독점수","제작사점수","수입사점수","배우1점수","배우2점수","배우3점수"
"퍼스트어벤져","조존스톤","","씨제이이앤엠(주)","씨제이이앤엠(주)","2011-07-28",7,"미국",363,514417,"액션","12세이상관람가","크리스에반스","토미리존스","휴고위빙",7.53,392550,762553.945321993,1018967.20634921,3150953,283421.5,514417
"설국열차","봉준호","(주)모호필름,오퍼스픽쳐스","","씨제이이앤엠(주)","2013-08-01",8,"한국",1128,8914845,"SF","15세이상관람가","크리스에반스","송강호","에드해리스",7.97,4618197.5,8914845,1677501.34942085,3150953,8914845,4613150.5
"타임투러브","저스틴리어든","","(주)엔케이컨텐츠","(주)인벤트스톤","2014-10-23",10,"미국",201,23597,"코미디","청소년관람불가","크리스에반스","미셸모나한","애슐리티스데일",8.12,23597,762553.945321993,119787.75,3150953,336569.5,23597
"데블","존에릭도들","미디어라이트캐피탈","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2010-11-04",11,"미국",190,118286,"공포(호러)","15세이상관람가","크리스메시나","로건마샬그린","제니오하라",7.38,82533.5,118286,778770.556521739,118286,118286,118286
"파라노말액티비티:더고스트디멘션","그레고리플로킨","","(주)다자인소프트","(주)박수엔터테인먼트","2016-04-21",4,"미국",353,54972,"미스터리","15세이상관람가","크리스J.머레이","브릿쇼","아이비조지",5.58,54972,762553.945321993,35585.5,54972,54972,54972
"극장판메이저:우정의강속구","카토타카오","","에이원엔터테인먼트","에이원엔터테인먼트","2011-10-20",10,"3국",105,11162,"애니메이션","전체관람가","쿠마이모토코","모리쿠보쇼타로","",9.07,11162,762553.945321993,33237,11162,11162,957932.33604336
"킹스스피치","톰후퍼","","(주)영화사그랑프리","(주)화앤담이엔티","2011-03-17",3,"3국",317,806248,"드라마","12세이상관람가","콜린퍼스","제프리러쉬","헬레나본햄카터",8.28,3359069,762553.945321993,806248,3465701,1457798.33333333,1167271.66666667
"킹스맨:시크릿에이전트","매튜본","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2015-02-11",2,"미국",706,6125154,"액션","청소년관람불가","콜린퍼스","태런에저튼","사무엘L.잭슨",8.82,3439198.25,762553.945321993,1276741.5375,3465701,3152618,3905543.5
"런던블러바드","윌리엄모나한","","(유)조이앤컨텐츠그룹","(주)팝파트너스","2012-09-20",9,"미국",131,15539,"범죄","15세이상관람가","콜린파렐","키이라나이틀리","",5.85,15539,762553.945321993,141668.448275862,417697.333333333,695634.666666667,957932.33604336
"퍼펙트","닐스아르덴오플레브","","(주)영화사폴","(주)마인스엔터테인먼트","2013-09-25",9,"미국",136,17916,"액션","청소년관람불가","콜린파렐","누미라파스","테렌스하워드",6.67,17916,762553.945321993,51377,417697.333333333,19760,17916
"토탈리콜","렌와이즈먼","","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2012-08-15",8,"미국",448,1219637,"SF","15세이상관람가","콜린파렐","케이트베킨세일","제시카비엘",7.27,1219637,762553.945321993,1153290.7804878,417697.333333333,636190,727935.666666667
"헤라클레스:레전드비긴즈","레니할린","","(유)조이앤컨텐츠그룹","(주)넥스트엔터테인먼트월드(NEW)","2014-04-10",4,"미국",390,221327,"액션","15세이상관람가","켈란루츠","스콧앳킨스","록산느맥키",6.32,121838.5,762553.945321993,141668.448275862,409234.5,221327,221327
"타잔3D","라인하드클루스","","우성엔터테인먼트","(주)싸이더스","2014-01-09",1,"3국",527,597142,"애니메이션","전체관람가","켈란루츠","스펜서로크","",7.58,597142,762553.945321993,335399,409234.5,597142,957932.33604336
"돈비어프레이드:어둠속의속삭임","트로이닉시","","","(주)화앤담이엔티","2011-08-25",8,"미국",232,70506,"공포(호러)","15세이상관람가","케이티홈즈","가이피어스","",5.41,70506,762553.945321993,1677501.34942085,70506,57526,957932.33604336
"파라노말액티비티","오렌펠리","브름하우스프로덕션","㈜코리아스크린","(주)넥스트엔터테인먼트월드(NEW)","2010-01-13",1,"미국",187,446510,"공포(호러)","12세이상관람가","케이티피더스턴","미카슬로앳","마크프레드릭스",5.58,446510,446510,187416.944444444,210802.666666667,446510,446510
"러브앤프렌즈","루크그린필드","","롯데쇼핑㈜롯데엔터테인먼트","롯데쇼핑㈜롯데엔터테인먼트","2011-06-16",6,"미국",207,110795,"드라마","15세이상관람가","케이트허드슨","지니퍼굿윈","존크래신스키",7.02,110795,762553.945321993,1287987.86956522,110795,110795,80973
"언더월드:블러드워","안나포에스터","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2016-11-30",11,"미국",183,72071,"액션","15세이상관람가","케이트베킨세일","테오제임스","브래들리제임스",6.12,72071,762553.945321993,778770.556521739,136054.5,152762.333333333,72071
"드래프트데이","이반라이트만","","(주)포커스엔터테인먼트","(주)영화사빅","2014-07-10",7,"미국",82,10119,"드라마","12세이상관람가","케빈코스트너","제니퍼가너","톰웰링",8.29,138981,762553.945321993,105437,10119,10119,10119
"스트레스를부르는그이름직장상사","세스고든","","워너브러더스코리아(주)","워너브러더스코리아(주)","2011-11-17",11,"미국",117,51646,"코미디","청소년관람불가","케빈스페이시","제니퍼애니스톤","콜린파렐",6.8,51646,762553.945321993,1399135.08641975,51646,51646,1577156.66666667
"오리엔트특급살인","케네스브래너","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2017-11-29",11,"미국",707,864757,"드라마","12세이상관람가","케네스브래너","조니뎁","데이지리들리",8.02,900815.75,762553.945321993,1276741.5375,864757,707332.666666667,864757
"코드네임제로니모","존스톡웰","","주식회사풍경소리","씨너스엔터테인먼트(주)","2012-12-13",12,"미국",108,23462,"액션","15세이상관람가","캠지갠뎃","윌리암피츠너","로버트네퍼",6.23,23462,762553.945321993,18169,23462,23462,23462
"사랑은언제나진행중","바트프룬디치","필름디파트먼트","데이지엔터테인먼트,(주)토마스엔터프라이즈","(주)시너지하우스(시너지)","2010-03-11",3,"미국",181,52193,"코미디","15세이상관람가","캐서린제타존스","저스틴바사","",8.12,52193,52193,52193,52193,52193,957932.33604336
"꼬마영웅바비","지안밍후앙","","(주)나우콘텐츠","와이드릴리즈(주)","2018-05-30",5,"3국",317,18512,"애니메이션","전체관람가","캐리월그렌","체비체이스","존헤저",8.43,18512,762553.945321993,18512,18512,18512,18512
"빌리와용감한녀석들2","닉힐아드바니","","㈜코리아스크린","(주)에스비에스콘텐츠허브","2013-02-21",2,"3국",289,306837,"애니메이션","전체관람가","캐리엘위스","크리스토퍼로이드","제인린치",7.3,306837,762553.945321993,187416.944444444,306837,306837,612510
"파퍼씨네펭귄들","마크워터스","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2011-09-07",9,"미국",333,979739,"코미디","전체관람가","칼라구기노","짐캐리","안젤라랜즈베리",8.51,979739,762553.945321993,1276741.5375,979739,979739,979739
"진격의거인:홍련의화살","아라키테츠로","","(주)애니플러스","(주)박수엔터테인먼트","2015-01-28",1,"3국",82,24450,"애니메이션","15세이상관람가","카지유우키","이시카와유이","이노우에마리나",7.28,24450,762553.945321993,45651.7,24450,24450,24450
"극장판유희왕:시공을초월한우정","타케시타켄이치","","대원미디어(주)","대원미디어(주)","2011-02-24",2,"3국",103,60371,"애니메이션","전체관람가","카자마슌스케","켄","미야시타유야",7.82,60371,762553.945321993,168973.310344828,60371,60371,60371
"화이트고릴라","안드레스G.슈에","","(주)소나무픽쳐스","(주)마인스엔터테인먼트,(주)박수엔터테인먼트","2013-10-31",10,"3국",182,71796,"애니메이션","전체관람가","카이스트로인크","누리아트리폴","",8.23,71796,762553.945321993,29377.75,71796,71796,957932.33604336
"너의이름은.","신카이마코토","","(주)미디어캐슬","메가박스중앙(주)플러스엠","2017-01-04",1,"3국",947,3637122,"애니메이션","12세이상관람가","카미키류노스케","카미시라이시모네","",8.75,1844640.5,762553.945321993,933402,3637122,3637122,957932.33604336
"키즈모노가타리I:철혈편","신보아키유키","","(주)애니플러스","(주)박수엔터테인먼트","2016-06-30",6,"3국",74,24492,"애니메이션","15세이상관람가","카미야히로시","사카모토마아야","호리에유이",7.97,17198,762553.945321993,45651.7,16945.25,22387,22176.5
"예전부터계속좋아했어~고백실행위원회~","야나기자와테츠야","","(주)엔케이컨텐츠","(주)디스테이션","2016-09-29",9,"3국",77,16187,"애니메이션","전체관람가","카미야히로시","토마츠하루카","카지유우키",7.99,16187,762553.945321993,119787.75,16945.25,16187,16187
"키즈모노가타리III:냉혈편","신보아키유키","","(주)애니플러스","(주)박수엔터테인먼트","2017-05-18",5,"3국",81,11302,"애니메이션","15세이상관람가","카미야히로시","사카모토마아야","호리에유이",8.38,17198,762553.945321993,45651.7,16945.25,22387,22176.5
"키즈모노가타리II:열혈편","신보아키유키","","(주)애니플러스","(주)박수엔터테인먼트","2016-10-20",10,"3국",69,15800,"애니메이션","15세이상관람가","카미야히로시","사카모토마아야","호리에유이",8.51,17198,762553.945321993,45651.7,16945.25,22387,22176.5
"오큘러스","마이크플래너건","","(주)메인타이틀픽쳐스","씨네그루(주)다우기술","2014-05-29",5,"미국",336,279488,"미스터리","15세이상관람가","카렌길런","브렌튼스웨이츠","케이티색코프",7.41,305682.5,762553.945321993,140466.25,279488,599083,205773.5
"발레리안:천개행성의도시","뤽베송","","판씨네마(주)","판씨네마(주)","2017-08-30",8,"3국",629,511931,"액션","12세이상관람가","카라델레바인","데인드한","",7.81,639466.25,762553.945321993,625486.15,511931,356648,957932.33604336
"별을쫓는아이","신카이마코토","","에이원엔터테인먼트,(주)박수엔터테인먼트","(주)박수엔터테인먼트,에이원엔터테인먼트","2011-08-25",8,"3국",139,52159,"애니메이션","전체관람가","카네모토히사코","이리노미유","이노우에카즈히코",7.93,1844640.5,762553.945321993,52159,52159,52159,52159
"극장판메탈베이블레이드VS태양작열의침략자솔블레이즈","스기시마쿠니히사","","애니박스엔터테인먼트","(주)미디어데이","2011-01-05",1,"3국",120,70051,"애니메이션","전체관람가","카나다아키","마에노토모아키","",6.09,70051,762553.945321993,51895.1666666667,70051,70051,957932.33604336
"트리플9","존힐코트","","(주)메인타이틀픽쳐스","(주)리틀빅픽쳐스","2016-04-20",4,"미국",329,47197,"범죄","청소년관람불가","치웨텔에지오포","케이시애플렉","케이트윈슬렛",8.44,95485.6666666667,762553.945321993,140466.25,272600.5,47197,164929.5
"노예12년","스티브맥퀸","","판씨네마(주)","판씨네마(주),(주)프레인글로벌","2014-02-27",2,"미국",326,498004,"드라마","15세이상관람가","치웨텔에지오포","마이클패스벤더","베네딕트컴버배치",8.52,498004,762553.945321993,625486.15,272600.5,1734850.75,292579.5
"하늘이보내준딸","비자이","","(주)포커스엔터테인먼트","(주)싸이더스","2012-04-19",4,"3국",107,16875,"가족","전체관람가","치얀비크람","사라아준","",8.71,16875,762553.945321993,105437,16875,16875,957932.33604336
"극장판파워레인저:캡틴포스VS미라클포스199히어로대결전","타케모토노보루","","대원미디어(주)","롯데쇼핑㈜롯데엔터테인먼트","2012-12-13",12,"3국",229,110771,"애니메이션","전체관람가","치바유다이","오자와료타","야마다유키",7.76,88333,762553.945321993,168973.310344828,83595.5,110771,110771
"밀림의왕자레오2","타케우치요시오","","에이원엔터테인먼트","에이원엔터테인먼트","2012-11-08",11,"3국",159,44988,"애니메이션","전체관람가","츠카야마마사네","이시무라토모코","",8.17,44988,762553.945321993,33237,44988,44988,957932.33604336
"특별시민","박인제","(주)팔레트픽처스","","(주)쇼박스","2017-04-26",4,"한국",1154,1362634,"드라마","15세이상관람가","최민식","곽도원","심은경",7.4,895386.5,1362634,1677501.34942085,2080931.75,2906992.5,665796
"침묵","정지우","(주)용필름","","씨제이이앤엠(주)","2017-11-02",11,"한국",634,487897,"드라마","15세이상관람가","최민식","박신혜","류준열",7.77,917085.5,2941744.6,1677501.34942085,2080931.75,6649551.5,487897
"대호","박훈정","(주)사나이픽처스","","(주)넥스트엔터테인먼트월드(NEW)","2015-12-16",12,"한국",892,1762742,"사극","12세이상관람가","최민식","","",8,2209793.6,1590465.33333333,1677501.34942085,2080931.75,726970.612244898,957932.33604336
"범죄와의전쟁:나쁜놈들전성시대","윤종빈","(주)팔레트픽처스,(주)쇼박스","","(주)쇼박스","2012-02-02",2,"한국",699,4710454,"범죄","청소년관람불가","최민식","하정우","",8.6,4742674.5,4710454,1677501.34942085,2080931.75,4012767.66666667,957932.33604336
"미나문방구","정익환","(주)별의별","","롯데쇼핑㈜롯데엔터테인먼트","2013-05-16",5,"한국",385,334323,"드라마","전체관람가","최강희","봉태규","",7.07,334323,334323,1677501.34942085,334323,334323,957932.33604336
"레전드오브래빗","순리준","","(주)누리픽쳐스","(주)화앤담이엔티","2012-02-22",2,"3국",225,85184,"애니메이션","전체관람가","천환런","","",7.28,85184,762553.945321993,290979.484848485,85184,726970.612244898,957932.33604336
"극장판도라에몽:신진구의버스오브재팬","야쿠와신노스케","","대원미디어(주)","(주)넥스트엔터테인먼트월드(NEW)","2016-12-21",12,"3국",282,70350,"애니메이션","전체관람가","채민지","김정아","최낙윤",9.05,118221,762553.945321993,168973.310344828,70350,70350,70350
"블랙팬서","라이언쿠글러","","월트디즈니컴퍼니코리아유한책임회사","월트디즈니컴퍼니코리아유한책임회사","2018-02-14",2,"미국",1620,5399070,"액션","12세이상관람가","채드윅보스만","","",7.52,5399070,762553.945321993,3061112,5399070,726970.612244898,957932.33604336
"디어존","라세할스트롬","릴레티비티미디어","(주)나이너스엔터테인먼트","(주)화앤담이엔티","2010-03-04",3,"미국",262,192530,"드라마","12세이상관람가","채닝테이텀","아만다사이프리드","",6.84,144606.5,192530,379976.333333333,663770.25,192530,957932.33604336
"지.아이.조2","존추","파라마운트픽쳐스","씨제이이앤엠(주)","씨제이이앤엠(주)","2013-03-28",3,"미국",766,1855917,"액션","15세이상관람가","채닝테이텀","이병헌","브루스윌리스",7.06,1879580.66666667,2743330.9,1018967.20634921,663770.25,1855917,1149981
"화이트하우스다운","롤랜드에머리히","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","2013-06-27",6,"미국",480,569500,"액션","15세이상관람가","채닝테이텀","제이미폭스","매기질렌할",7.41,1035165,762553.945321993,1523331.67741935,663770.25,569500,569500
"사이드이펙트","스티븐소더버그","","(주)누리픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","2013-07-11",7,"미국",172,37134,"스릴러","청소년관람불가","채닝테이텀","주드로","캐서린제타존스",7.6,106848,762553.945321993,290979.484848485,663770.25,708270,24845.5
"킹아서:제왕의검","가이리치","","워너브러더스코리아(주)","워너브러더스코리아(주)","2017-05-17",5,"3국",588,412843,"판타지","12세이상관람가","찰리허냄","주드로","",7.79,920183.333333333,762553.945321993,1399135.08641975,999564,708270,957932.33604336
"엽기적인그녀2","조근식","(주)신씨네","","(주)리틀빅픽쳐스","2016-05-12",5,"한국",387,76321,"멜로/로맨스","15세이상관람가","차태현","빅토리아","",2.84,76321,76321,1677501.34942085,1647284.16666667,76321,957932.33604336
"바람과함께사라지다","김주호","(주)두타연,(주)에이디사공육","","(주)넥스트엔터테인먼트월드(NEW)","2012-08-08",8,"한국",694,4897551,"코미디","12세이상관람가","차태현","오지호","민효린",7.59,4897551,4897551,1677501.34942085,1647284.16666667,2464914.5,2501143.5
"슬로우비디오","김영탁","이십세기폭스인터내셔널프로덕션,(주)영화사AK기쁜우리젊은날","","이십세기폭스코리아(주)","2014-10-02",10,"한국",618,1159787,"드라마","12세이상관람가","차태현","남상미","",7.76,2028632,1159787,1677501.34942085,1647284.16666667,1159787,957932.33604336
"사랑하기때문에","주지홍","(주)에이디사공육","","(주)넥스트엔터테인먼트월드(NEW)","2017-01-04",1,"한국",542,324420,"코미디","12세이상관람가","차태현","김유정","서현진",8.05,324420,324420,1677501.34942085,1647284.16666667,324420,324420
"챔프","이환경","(주)씨엘엔터테인먼트,(주)대명문화공장,(주)예인문화,(주)화인웍스","","(주)쇼박스","2011-09-07",9,"한국",288,528149,"드라마","12세이상관람가","차태현","유오성","박하선",8.43,6669677.5,528149,1677501.34942085,1647284.16666667,528149,528149
"헬로우고스트","김영탁","(주)워터앤트리","","(주)넥스트엔터테인먼트월드(NEW)","2010-12-22",12,"한국",472,2897477,"코미디","12세이상관람가","차태현","강예원","이문수",8.87,2028632,2897477,1677501.34942085,1647284.16666667,1275545,2897477
"하이힐","장진","장차앤코","","롯데쇼핑㈜롯데엔터테인먼트","2014-06-03",6,"한국",385,339844,"범죄","청소년관람불가","차승원","오정세","이솜",7.75,491782.25,339844,1677501.34942085,1565581.33333333,423550.5,193233.5
"고산자,대동여지도","강우석","(주)시네마서비스","","씨제이이앤엠(주)","2016-09-07",9,"한국",765,971194,"사극","전체관람가","차승원","유준상","",7.23,2001172.75,1331939.75,1677501.34942085,1565581.33333333,1687968.75,957932.33604336
"포화속으로","이재한","(주)태원엔터테인먼트,(주)유비유필름,(주)에이치플러스","","롯데쇼핑㈜롯데엔터테인먼트","2010-06-16",6,"한국",736,3385706,"드라마","12세이상관람가","차승원","권상우","T.O.P",8.22,2621506,3385706,1677501.34942085,1565581.33333333,1850505.5,1720466.5
"위험한상견례2","김진영","(주)전망좋은영화사,TCO(주)더콘텐츠온,(주)마음에드는영화사","","롯데쇼핑㈜롯데엔터테인먼트,(주)마인스엔터테인먼트","2015-04-29",4,"한국",429,472693,"멜로/로맨스","15세이상관람가","진세연","홍종현","신정근",6.69,1135495.33333333,472693,1677501.34942085,1534159,1534159,1534159
"위험한상견례","김진영","(주)전망좋은영화사","","롯데쇼핑㈜롯데엔터테인먼트","2011-03-31",3,"한국",524,2595625,"코미디","12세이상관람가","진세연","홍종현","신정근",6.69,1135495.33333333,1075550.5,1677501.34942085,1534159,1534159,1534159
"26년","조근현","영화사청어람(주)","","(주)인벤트스톤,영화사청어람(주)","2012-11-29",11,"한국",604,2963449,"액션","15세이상관람가","진구","한혜진","임슬옹",6.37,1149699.33333333,2963449,1677501.34942085,2963449,2471380,2963449
"주유소습격사건2","김상진","㈜감독의집,(주)시네마서비스","","(주)시네마서비스","2010-01-21",1,"한국",322,742475,"액션","15세이상관람가","지현우","조한선","문원주",4.67,337940,742475,1677501.34942085,742475,500095.5,742475
"조작된도시","박광현","(주)티피에스컴퍼니,(주)영화사심플렉스,컬쳐메이트","","씨제이이앤엠(주)","2017-02-09",2,"한국",1019,2512572,"범죄","15세이상관람가","지창욱","심은경","안재홍",8.03,2512572,2512572,1677501.34942085,2512572,2730516.25,1410376
"미안해사랑해고마워","전윤수","타임박스엔터테인먼트(주)","","(주)쇼박스","2015-10-28",10,"한국",344,51207,"드라마","15세이상관람가","지진희","김성균","성유리",7.13,51207,51207,1677501.34942085,494118,696064.4,51207
"평행이론","권호영","(주)다세포클럽,씨제이엔터테인먼트","","씨제이엔터테인먼트","2010-02-18",2,"한국",272,937029,"스릴러","15세이상관람가","지진희","","",7.37,734491,937029,1677501.34942085,494118,726970.612244898,957932.33604336
"좋은친구들","이도윤","오퍼스픽쳐스,굿초이스컷픽쳐스(주)","","씨제이이앤엠(주)","2014-07-10",7,"한국",371,404456,"범죄","청소년관람불가","지성","주지훈","이광수",7.77,404456,404456,1677501.34942085,1113786,404456,1775752
"나의PS파트너","변성현","나의PS파트너문화산업전문회사","","씨제이이앤엠(주)","2012-12-06",12,"한국",552,1823116,"멜로/로맨스","청소년관람불가","지성","김아중","",8.22,1387456.5,1823116,1677501.34942085,1113786,1823116,957932.33604336
"7번째아들","세르게이보드로프","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2015-02-11",2,"미국",358,92598,"어드벤처","12세이상관람가","줄리안무어","벤반스","제프브리지스",4.92,92598,762553.945321993,778770.556521739,94719.3333333333,63295.5,91290
"에브리바디올라잇","리사촐로덴코","만달레이","코리아코어컨텐츠","(주)화천공사","2010-09-02",9,"미국",126,61927,"코미디","청소년관람불가","줄리안무어","아네트베닝","마크러팔로",7.58,61927,61927,76906.6666666667,94719.3333333333,61927,5278213
"클로이","아톰에고이안","스튜디오카날","우성엔터테인먼트","(주)시너지하우스(시너지)","2010-02-25",2,"3국",183,129633,"드라마","청소년관람불가","줄리안무어","리암니슨","아만다사이프리드",7.76,129633,129633,335399,94719.3333333333,1214563.6,188951.333333333
"먹고기도하고사랑하라","라이언머피","콜럼비아픽쳐스코포레이션","한국소니픽쳐스릴리징브에나비스타영화㈜","한국소니픽쳐스릴리징브에나비스타영화㈜","2010-09-30",9,"미국",280,509623,"드라마","15세이상관람가","줄리아로버츠","","",6.48,509623,824814,1153290.7804878,542886.5,726970.612244898,957932.33604336
"백설공주","타셈싱","","(주)누리픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","2012-05-03",5,"미국",386,576150,"판타지","전체관람가","줄리아로버츠","릴리콜린스","아미해머",7.37,675229.333333333,762553.945321993,290979.484848485,542886.5,366447,481838.5
"가비","장윤현","(주)오션필름","","(주)시네마서비스","2012-03-15",3,"한국",339,270602,"드라마","15세이상관람가","주진모","김소연","박희순",6.86,270602,270602,1677501.34942085,921017,270602,1610129.66666667
"무적자","송해성","핑거프린트(주)","","씨제이엔터테인먼트","2010-09-16",9,"한국",416,1571432,"드라마","15세이상관람가","주진모","송승헌","김강우",5.61,1355341,1571432,1677501.34942085,921017,978759.333333333,834493.5
"간신","민규동","(주)수필름","","롯데쇼핑㈜롯데엔터테인먼트","2015-05-21",5,"한국",697,1110246,"사극","청소년관람불가","주지훈","김강우","천호진",6.9,1588726.25,766181.428571429,1677501.34942085,939608.5,1212264.5,925484.75
"나는왕이로소이다","장규성","데이지엔터테인먼트","","롯데쇼핑㈜롯데엔터테인먼트","2012-08-08",8,"한국",471,768971,"사극","12세이상관람가","주지훈","백윤식","변희봉",7.42,768971,417986,1677501.34942085,939608.5,665291,768971
"공자춘추전국시대","후메이","베이징다디센츄리","아이엠제이유한회사,프리비젼엔터테인먼트","(주)시너지하우스(시너지)","2010-02-11",2,"3국",243,377801,"드라마","12세이상관람가","주윤발","저우쉰","젠빈천",6.47,377801,377801,377801,226549,377801,377801
"패션왕","오기환","주식회사와이랩,(주)노마드필름","","(주)넥스트엔터테인먼트월드(NEW)","2014-11-06",11,"한국",523,591125,"코미디","15세이상관람가","주원","최진리","",5.27,304461,591125,1677501.34942085,818719,591125,957932.33604336
"그놈이다","윤준형","상상필름(주)","","CGV아트하우스","2015-10-28",10,"한국",681,1046313,"스릴러","15세이상관람가","주원","유해진","이유영",6.96,1046313,1284070.25,1677501.34942085,818719,2543912.4,1046313
"프롬파리위드러브","피에르모렐","유로파Corp.","㈜케이디미디어","㈜케이디미디어","2010-03-11",3,"3국",300,375573,"액션","청소년관람불가","존트라볼타","조나단리스마이어스","",7.13,241508.5,253504.5,174008.625,375573,375573,957932.33604336
"호두까기인형3D","안드레이콘찰로프스키","","(주)토러스엔터테인먼트","(주)나이너스엔터테인먼트","2013-01-03",1,"미국",132,44677,"가족","전체관람가","존터투로","엘르패닝","네이단레인",9.07,44677,762553.945321993,44677,44677,721101.5,44677
"상하이","미카엘하프스트롬","","데이지엔터테인먼트","(주)넥스트엔터테인먼트월드(NEW)","2011-01-27",1,"미국",217,269157,"드라마","15세이상관람가","존쿠삭","공리","주윤발",3.5,205791,762553.945321993,457299.074074074,211217.5,140156.5,269157
"더레이븐","제임스맥티그","","(주)누리픽쳐스","롯데쇼핑㈜롯데엔터테인먼트","2012-07-05",7,"미국",265,153278,"스릴러","청소년관람불가","존쿠삭","루크에반스","앨리스이브",6.84,153278,762553.945321993,290979.484848485,211217.5,153278,153278
"페르디난드","카를로스살다나","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2018-01-03",1,"미국",698,533790,"애니메이션","전체관람가","존시나","","",8.88,646795,762553.945321993,1276741.5375,533790,726970.612244898,957932.33604336
"아이스에이지:지구대충돌","마이크트메이어","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2016-07-20",7,"미국",580,553760,"애니메이션","전체관람가","존레귀자모","제니퍼로페즈","아담드바인",8.2,553760,762553.945321993,1276741.5375,1100915,457158,553760
"주먹왕랄프","리치무어","","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","소니픽쳐스릴리징월트디즈니스튜디오스코리아(주)","2012-12-19",12,"미국",361,918183,"애니메이션","전체관람가","존C.라일리","잭맥브레이어","제인린치",9.31,918183,762553.945321993,1523331.67741935,918183,918183,612510
"신비아파트:금빛도깨비와비밀의동굴","김병갑","씨제이이앤엠(주),(주)칵테일미디어","","씨제이이앤엠(주)","2018-07-25",7,"한국",762,445485,"애니메이션","전체관람가","조현정","김영은","김채하",8.75,445485,445485,1677501.34942085,445485,445485,445485
"해빙","이수연","위더스필름(주),(주)영화사불","","롯데쇼핑㈜롯데엔터테인먼트","2017-03-01",3,"한국",915,1201576,"스릴러","15세이상관람가","조진웅","신구","김대명",6.5,1201576,1201576,1677501.34942085,1550740.6,624197.5,1201576
"대장김창수","이원태","(주)비에이엔터테인먼트,(주)무비스퀘어","","씨네그루(주)키다리이엔티,주식회사키위컴퍼니","2017-10-19",10,"한국",748,380581,"드라마","12세이상관람가","조진웅","송승헌","",6.94,380581,380581,1677501.34942085,1550740.6,978759.333333333,957932.33604336
"우리는형제입니다","장진","필름있수다","","(주)쇼박스","2014-10-23",10,"한국",566,970373,"코미디","12세이상관람가","조진웅","김성균","김영애",7.2,491782.25,508134.5,1677501.34942085,1550740.6,696064.4,884824
"독전:익스텐디드컷","이해영","(주)용필름","","(주)넥스트엔터테인먼트월드(NEW)","2018-07-18",7,"한국",398,137684,"범죄","15세이상관람가","조진웅","류준열","김주혁",7.57,1439409.5,2941744.6,1677501.34942085,1550740.6,2235561.66666667,3466691.75
"독전","이해영","(주)용필름","","(주)넥스트엔터테인먼트월드(NEW)","2018-05-22",5,"한국",1357,5063489,"범죄","15세이상관람가","조진웅","류준열","김주혁",7.57,1439409.5,2941744.6,1677501.34942085,1550740.6,2235561.66666667,3466691.75
"모뉴먼츠맨:세기의작전","조지클루니","","이십세기폭스코리아(주)","이십세기폭스코리아(주)","2014-02-27",2,"미국",319,71483,"액션","12세이상관람가","조지클루니","맷데이먼","케이트블란쳇",6.98,58086,762553.945321993,1276741.5375,109469,754697.75,1463483.25
"투모로우랜드","브래드버드","월트디즈니픽쳐스","월트디즈니컴퍼니코리아(주)","월트디즈니컴퍼니코리아(주)","2015-05-27",5,"미국",435,265744,"액션","12세이상관람가","조지클루니","휴로리","브릿로버트슨",7.26,3460335.66666667,1122950.75,3043537.52941176,109469,265744,265744
"머니몬스터","조디포스터","","유니버설픽쳐스인터내셔널코리아(유)","유니버설픽쳐스인터내셔널코리아(유)","2016-08-31",8,"미국",151,47226,"스릴러","15세이상관람가","조지클루니","잭오코넬","줄리아로버츠",7.74,47226,762553.945321993,778770.556521739,109469,47226,47226
"특종:량첸살인기","노덕","(주)우주필름,(주)뱅가드스튜디오","","롯데쇼핑㈜롯데엔터테인먼트","2015-10-22",10,"한국",776,616481,"스릴러","15세이상관람가","조정석","이미숙","이하나",7.01,1240838,616481,1677501.34942085,1911372.33333333,616481,616481
"나의사랑나의신부","임찬상","필름모멘텀","","씨네그루(주)다우기술","2014-10-08",10,"한국",629,2135614,"멜로/로맨스","15세이상관람가","조정석","신민아","",8.01,2135614,2399392,1677501.34942085,1911372.33333333,2135614,957932.33604336
"형","권수경","굿초이스컷픽쳐스(주)","","씨제이이앤엠(주)","2016-11-23",11,"한국",993,2982022,"코미디","12세이상관람가","조정석","디오","박신혜",8.34,2982022,1582836,1677501.34942085,1911372.33333333,1664906,1886090
