,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우
295,서부전선,천성일,(주)하리마오픽쳐스,,롯데쇼핑㈜롯데엔터테인먼트,2015-09-24,한국,509,609063,전쟁,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=서부전선%09&section=all&ie=utf8,6.37,  전쟁  드라마   한국 분     감독   천성일 출연   설경구  여진구   드라마  전쟁   미국 분     감독   루이스 마일스톤 출연   루이스 울하임  루 에어스  존 레이   전쟁  드라마   영화   미국 분     감독   델버트 맨 출연   리차드 토마스  어네스트 보그나인  도널드 플레젠스  이안 홈  패트리샤 닐   다큐멘터리   프랑스 분     감독   롤랜드 에드자드   액션  드라마  전쟁   미국     감독   로저 도널드슨
296,26년,조근현,영화사청어람(주),,"(주)인벤트스톤,영화사청어람(주)",2012-11-29,한국,604,2963449,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=26년%09&section=all&ie=utf8,6.37,  액션   한국 분     감독   조근현 출연   진구  한혜진  임슬옹   공연실황   한국     출연   이승환   공연실황   한국     출연   이승환
297,더 시그널,윌리엄 유뱅크,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2014-07-09,미국,263,105818,SF,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=더 시그널%09&section=all&ie=utf8,6.38,    액션  스릴러   미국 분     감독   윌리엄 유뱅크 출연   올리비아 쿡  로렌스 피시번  브렌튼 스웨이츠   공포    스릴러   미국 분     감독   데이빗 브룩크너  댄 부쉬  제이콥 젠트리 출연    보웬  아네사 램지  저스틴 웰본  스콧 호지스   다큐멘터리  액션  드라마   미국 분     감독   존 카노이  마이클 호레릭 출연   벤 하퍼   드라마   미국 분     감독   클라렌스 브라운 출연   버지니아 발리  록클리피 펠로우스
298,어브덕션,존 싱글톤,,(주)누리픽쳐스,필라멘트픽쳐스,2011-09-29,미국,285,156744,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=어브덕션%09&section=all&ie=utf8,6.4,  액션  드라마  미스터리  스릴러   미국 분     감독   존 싱글톤 출연   테일러 로트너  릴리 콜린스  시고니 위버   공포    스릴러   미국 분     감독   매티 벡커맨 출연   캐서린 시지스먼드  코리 에이드  릴리 폴란스키
299,터닝메카드W: 반다인의 비밀 특별판,홍헌표,㈜희원엔터테인먼트,,"(주)제이앤씨미디어그룹,(주)아컴스튜디오",2018-02-08,한국,168,21947,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=터닝메카드W: 반다인의 비밀 특별판%09&section=all&ie=utf8,6.41,  애니메이션   한국 분     감독   홍헌표 출연   소연  윤미나  이현진  이지현  홍범기  이재현  정재헌  김율  신용우  김영은
300,강철대오:구국의 철가방,육상효,스페이스엠(주),,롯데쇼핑㈜롯데엔터테인먼트,2012-10-25,한국,366,233211,코미디,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=강철대오:구국의 철가방%09&section=all&ie=utf8,6.41,  코미디   한국 분     감독   육상효 출연   김인권  유다인  조정석  박철민
301,회사원,임상윤,"영화사심미안(주),(주)쇼박스,(주)51k",,(주)쇼박스,2012-10-11,한국,549,1110523,액션,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=회사원%09&section=all&ie=utf8,6.42,  액션  드라마   한국 분     감독   임상윤 출연   소지섭  이미연   코미디   미국     감독   앤 브라쉬어   프랑스 분     감독   알렉산드레 알앙  플로라 봉  피에르 나바르  유고 리어부킨   일본     감독   오즈 야스지로  배역명    회사원영화명   드림하이   감독   이응복  배역명   회사원 윤선영화명   코알라   감독   김주환  배역명   회사원영화명   밤과 함께   감독   심현석  배역명   호세네 회사원영화명   너는 내 운명   감독   김명욱  배역명   회사원악령영화명   수어사이드 스쿼드   감독   데이비드 에이어
302,커플 테라피: 대화가 필요해,피터 빌링슬레이,유니버셜 픽쳐스,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2010-02-25,미국,66,19623,코미디,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=커플 테라피: 대화가 필요해%09&section=all&ie=utf8,6.43,  코미디   미국 분     감독   피터 빌링슬리 출연   빈스 본  제이슨 베이트먼  존 파브로  크리스틴 데이비스  말린 애커맨  크리스틴 벨  장 르노
303,이모티: 더 무비,토니 레온디스,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-08-02,미국,134,40221,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=이모티: 더 무비%09&section=all&ie=utf8,6.43,  애니메이션  코미디  가족  모험   미국 분     감독   토니 레온디스 출연    밀러  패트릭 스튜어트  제임스 코든  마야 루돌프  안나 페리스  크리스티나 아길레라  소피아 베르가라  션 헤이즈
304,워킹걸,정범식,"(주)홍필름,(주)수필름",,메가박스중앙(주)플러스엠,2015-01-07,한국,308,149181,코미디,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=워킹걸%09&section=all&ie=utf8,6.44,  코미디  멜로로맨스   한국 분     감독   정범식 출연   조여정  클라라  김태우   코미디  멜로로맨스   미국 분     감독   마이크 니콜스 출연   해리슨 포드  시고니 위버  멜라니 그리피스   멜로로맨스   한국 분     감독   화니 출연   안소희  장윤   독일 분     감독   코린 스튀비   캐나다  영국  미국       배역명   편의점 워킹걸영화명   리틀 포레스트   감독   임순례
305,돈 크라이 마미,김용한,(주)씨네마골뱅이,,(주)에스비에스콘텐츠허브,2012-11-22,한국,444,975462,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=돈 크라이 마미%09&section=all&ie=utf8,6.44,  스릴러  드라마   한국 분     감독   김용한 출연   유선  남보라  유오성  동호   드라마   미국 분     감독   안젤리카 휴스턴 출연   제니퍼 제이슨 리   코미디  범죄   러시아 연방     감독   마크심 페젬스키 출연   유리 쿠첸코  안드레이 파닌
306,락아웃: 익스트림미션,"제임스 매더스,스테판 St. 레게르",,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2012-06-14,미국,374,462176,SF,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=락아웃: 익스트림미션%09&section=all&ie=utf8,6.45,    액션  스릴러   미국  프랑스 분     감독   제임스 매더  스테판  레게르 출연   가이 피어스  매기 그레이스  조셉 길건
307,열한시,김현석,"(주)파레토웍스,씨제이이앤엠(주)",,씨제이이앤엠(주),2013-11-28,한국,512,870785,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=열한시%09&section=all&ie=utf8,6.46,  스릴러   한국 분     감독   김현석 출연   정재영  최다니엘  김옥빈
308,드라이브 앵그리 3D,패트릭 루지어,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2011-08-25,미국,160,30221,액션,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=드라이브 앵그리 3D%09&section=all&ie=utf8,6.47,  액션   미국 분     감독   패트릭 루지어 출연   니콜라스 케이지  엠버 허드  윌리암 피츠너  빌리 버크
309,퍼시 잭슨과 번개 도둑,크리스 콜럼버스,폭스2000픽처스,이십세기폭스코리아(주),이십세기폭스코리아(주),2010-02-11,미국,353,1877226,판타지,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=퍼시 잭슨과 번개 도둑%09&section=all&ie=utf8,6.47,  판타지  모험   캐나다  미국 분     감독   크리스 콜럼버스 출연   로건 레먼  피어스 브로스넌  우마 서먼  숀 빈  로사리오 도슨  케빈 맥키드
310,공자 춘추전국시대,후메이,베이징 다디 센츄리,"아이엠제이 유한회사,프리비젼엔터테인먼트",(주)시너지하우스 (시너지),2010-02-11,중국,243,377801,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=공자 춘추전국시대%09&section=all&ie=utf8,6.47,  액션  드라마   중국 분     감독   후메이 출연   주윤발  저우쉰  젠빈천
311,로맨틱 헤븐,장진,(주)시네마서비스글로벌,,(주)시네마서비스,2011-03-24,한국,260,73729,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=로맨틱 헤븐%09&section=all&ie=utf8,6.47,  드라마   한국 분     감독   장진 출연   김수로  김동욱  김지원  이순재  심은경  임원희  김준배
312,곤지암,정범식,(주)하이브미디어코프,,(주)쇼박스,2018-03-28,한국,1124,2675618,공포(호러),15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=곤지암%09&section=all&ie=utf8,6.47,  공포  미스터리   한국 분     감독   정범식 출연   위하준  박지현  오아연  문예원  박성훈  이승욱  유제윤   한국 분     감독   정윤상
313,빅 웨딩,저스틴 잭햄,,(주)뮤제엔터테인먼트,(주)나이너스엔터테인먼트,2013-06-27,미국,166,33993,멜로/로맨스,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=빅 웨딩%09&section=all&ie=utf8,6.48,  멜로로맨스  코미디   미국 분     감독   저스틴 잭햄 출연   아만다 사이프리드  벤 반스  로버트 드 니로  캐서린 헤이글  다이안 키튼  수잔 서랜든  로빈 윌리엄스   코미디  멜로로맨스   미국 분     감독   조엘 즈윅 출연   니아 발다로스  존 코베트  레이니 카잔  마이클 콘스탄틴  지아 카라이즈   코미디   이탈리아 분     감독   알레산드로 제노베시   다큐멘터리   미국     감독   매튜 제임스 윌리엄스  마크 테리엔  엘리자베스 맥도널드 출연   톰 아놀드
314,먹고 기도하고 사랑하라,라이언 머피,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-09-30,미국,280,509623,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=먹고 기도하고 사랑하라%09&section=all&ie=utf8,6.48,  드라마  멜로로맨스   미국 분     감독   라이언 머피 출연   줄리아 로버츠
315,트랜스포터: 리퓰드,카밀 들라마레,,(주)에이블엔터테인먼트,씨네그루(주)다우기술,2015-10-15,프랑스,432,161245,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=트랜스포터: 리퓰드%09&section=all&ie=utf8,6.48,  액션  범죄  스릴러   프랑스  중국 분     감독   카밀 들라마레 출연   에드 스크레인  론 샤바놀
316,미트 페어런츠 3,폴 웨이츠,,씨제이이앤엠(주),씨제이이앤엠(주),2011-03-31,미국,196,70053,코미디,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=미트 페어런츠 3%09&section=all&ie=utf8,6.49,  코미디   미국 분     감독   폴 웨이츠 출연   로버트 드 니로  벤 스틸러  오웬 윌슨  더스틴 호프만  바브라 스트라이샌드  블리드 대너  테리 폴로  제시카 알바
317,명탐정 코난: 에피소드 원-작아진 명탐정,야마모토 야스이치로,,씨제이이앤엠(주),씨제이이앤엠(주),2017-02-08,일본,215,128472,애니메이션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=명탐정 코난: 에피소드 원-작아진 명탐정%09&section=all&ie=utf8,6.49,  애니메이션   일본 분     감독   야마모토 야스이치로 출연   야마구치 캇페이  타카야마 미나미  야마자키 와카나  하야시바라 메구미  코야마 리키야  이케다 슈이치  오가타 켄이치
318,손님,김광태,(주)유비유필름,,씨제이이앤엠(주),2015-07-09,한국,634,827918,판타지,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=손님%09&section=all&ie=utf8,6.49,  판타지  공포   한국 분     감독   김광태 출연   류승룡  이성민  천우희  이준   드라마   한국 분     감독   박주영 출연   이명하  임근아  나철   한국 분     감독   홍성현   한국 분     감독   윤가은 출연   정연주  송예림  이지우  백병철   애니메이션   한국 분     감독   이은영  배역명   파티 손님영화명   레터스 투 갓   감독   데이빗 닉슨  패트릭 더그티  배역명   미용실 손님영화명   조작된 도시   감독   박광현  배역명   파티 손님영화명   레터스 투 갓   감독   데이빗 닉슨  패트릭 더그티  배역명   손님영화명   행복   감독   김기현  배역명   꼼장어 집 손님 검은 옷 행렬영화명   환상속의 그대   감독   강진아
319,토마스와 친구들 - 극장판 2,그렉 티어넌,"히트 엔터테인먼트,니트로겐 스튜디오",(주)코카반,에이원엔터테인먼트,2010-06-10,미국,92,16186,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=토마스와 친구들 - 극장판 2%09&section=all&ie=utf8,6.5,  애니메이션  액션  모험  가족   미국  영국  캐나다 분     감독   그렉 티어난 출연   마이클 안젤리스  마이클 브랜든
320,킬러스,로버트 루게틱,"카탈스트 필름,라이온스 게이트 필름즈",(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2010-09-02,미국,280,329086,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=킬러스%09&section=all&ie=utf8,6.5,  액션  드라마  스릴러   인도네시아  일본 분     감독   모 브라더스 출연   키타무라 카즈키  오카 안타라   액션  스릴러   미국 분     감독   윌리엄 카우프먼 출연   쿠바 구딩 쥬니어  돌프 룬드그렌   액션  드라마  스릴러   미국 분     감독   데이비드 스페노스 출연   크리스 보일랜   액션  코미디  멜로로맨스  스릴러   미국 분     감독   로버트 루케틱 출연   애쉬튼 커쳐  캐서린 헤이글   미국     감독   마이크 멘데즈
321,랭고,고어 버빈스키,,씨제이이앤엠(주),씨제이이앤엠(주),2011-03-03,미국,314,428896,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=랭고%09&section=all&ie=utf8,6.5,  애니메이션  액션  모험   미국 분     감독   고어 버빈스키 출연   조니 뎁   영화   미국 분     감독   톰 홀랜드 출연   패트리샤 웨티그  딘 스톡웰  데이빗 모스   다큐멘터리   아르헨티나  이탈리아 분     감독   알레시오 리고 드 리히  마테오 조피스  배역명   랭고 목소리영화명   랭고   감독   고어 버빈스키  배역명   랭고 한국어 더빙영화명   랭고   감독   고어 버빈스키
322,달빛궁궐,김현주,"스튜디오홀호리(주),(주)콘텐츠판다",,(주)넥스트엔터테인먼트월드(NEW),2016-09-07,한국,425,151360,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=달빛궁궐%09&section=all&ie=utf8,6.5,  애니메이션  판타지  모험   한국 분     감독   김현주 출연   이하늬  김슬기  권율  김서영
323,해빙,이수연,"위더스필름(주),(주)영화사불",,롯데쇼핑㈜롯데엔터테인먼트,2017-03-01,한국,915,1201576,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=해빙%09&section=all&ie=utf8,6.5,  스릴러   한국 분     감독   이수연 출연   조진웅  신구  김대명   공포    스릴러   미국  캐나다 분     감독   마크  루이스 출연   마사 맥아이작  아론 애쉬모어  카일 슈미트  스텝 송  발 킬머   드라마   한국     감독   이강훈 출연   황수정  이성용  박상원  황신혜  강석우   코미디  드라마   영국 분     감독   샘 호어 출연   안나 프릴  로몰라 가레이  앤드류 부찬  이삭 앤드류스   애니메이션   네덜란드 분     감독   유스트 리우마
324,브이아이피,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",,워너브러더스 코리아(주),2017-08-23,한국,996,1373316,범죄,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=브이아이피%09&section=all&ie=utf8,6.5,  범죄  드라마   한국 분     감독   박훈정 출연   장동건  김명민  박희순  이종석
325,데드폴,스테판 루조비츠키,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2013-01-23,미국,82,14744,범죄,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=데드폴%09&section=all&ie=utf8,6.51,  범죄  드라마  스릴러  액션   미국 분     감독   슈테판 루조비츠키 출연   에릭 바나  올리비아 와일드  찰리 허냄   공포   미국 분     감독   빈스 디 메글리오 출연   패트릭 로러  오드리 로우  브래디 피셔   영국 분     감독   브라이언 포브스 출연   마이클 케인  블라덱 쉐이벌   공포  스릴러   미국 분     감독   로즈 출연   캘빈 그레이 슈나이더  로잘리 마이클스  쉐인 딘  슬레이드 홀
326,여중생A,이경섭,"(주)영화사울림,네이버웹툰 주식회사",,롯데컬처웍스(주)롯데엔터테인먼트,2018-06-20,한국,479,97851,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=여중생A%09&section=all&ie=utf8,6.51,  드라마   한국 분     감독   이경섭 출연   김환희  수호
327,비밀은 없다,이경미,"(주)영화사거미,필름트레인",,씨제이이앤엠(주),2016-06-23,한국,502,250650,스릴러,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=비밀은 없다%09&section=all&ie=utf8,6.51,  스릴러   한국 분     감독   이경미 출연   손예진  김주혁
328,파이널 데스티네이션5,스티븐 쿼일,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-09-08,미국,168,257193,공포(호러),청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=파이널 데스티네이션5%09&section=all&ie=utf8,6.52,  공포  액션   미국 분     감독   스티븐 쿼일 출연   니콜라스 디아고스토  엠마 벨  토니 토드
329,툼레이더,로아 우타우,,워너브러더스 코리아(주),워너브러더스 코리아(주),2018-03-08,미국,806,540410,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=툼레이더%09&section=all&ie=utf8,6.52,  액션  모험   미국 분     감독   로아 우타우 출연   알리시아 비칸데르   액션  판타지  모험   미국  영국  독일  일본 분     감독   사이먼 웨스트 출연   안젤리나 졸리  존 보이트  노아 테일러  이아인 글렌  다니엘 크레이그   모험  액션   미국  독일  일본  영국  네덜란드 분     감독   얀 드봉 출연   안젤리나 졸리  제라드 버틀러  노아 테일러  시아란 힌즈  디몬 하운수  틸 슈바이거  크리스 배리
330,천녀유혼,엽위신,,,씨너스엔터테인먼트(주),2011-05-12,중국,240,66219,SF,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=천녀유혼%09&section=all&ie=utf8,6.53,  판타지    멜로로맨스   중국 분     감독   엽위신 출연   고천락  유역비  여소군   애니메이션   홍콩 분     감독   진준문 출연   임해붕  원영의  서극  갈민휘  진소춘  양채니  실비아 창  황점  이립군  유약영  여서은  진혜림  황육민  소유붕   판타지  공포  멜로로맨스  액션   홍콩 분     감독   정소동 출연   왕조현  양조위  장학우   대만  홍콩 분     감독   이한상 출연   요체  양지경  조뢰   판타지  공포  멜로로맨스  액션   홍콩 분     감독   정소동 출연   장국영  왕조현  배역명   천녀유혼영화명   강철대오 구국의 철가방   감독   육상효
331,조조-황제의 반란,조림산,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2012-10-18,중국,227,75297,사극,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=조조-황제의 반란%09&section=all&ie=utf8,6.53,  드라마  액션   중국 분     감독   자오린산 출연   주윤발  소유붕  타마키 히로시  유역비
332,궁합,홍창표,(주)주피터필름,,씨제이이앤엠(주),2018-02-28,한국,966,1340149,코미디,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=궁합%09&section=all&ie=utf8,6.53,  코미디  드라마   한국 분     감독   홍창표 출연   심은경  이승기   멜로로맨스   한국 분     감독   채길병 출연   이지우  이유희  김시유   멜로로맨스   한국 분     감독   이민우 출연   윤지   드라마  멜로로맨스   일본 분     감독   카토 요시카즈 출연   니노미야 사키   드라마   한국     출연   이영범  최명길
333,극적인 하룻밤,하기호,"(주)연우무대,(주)인사이드픽쳐스",,CGV아트하우스,2015-12-03,한국,434,320923,멜로/로맨스,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=극적인 하룻밤%09&section=all&ie=utf8,6.54,  멜로로맨스  코미디   한국 분     감독   하기호 출연   윤계상  한예리  박병은  박효주
334,그날의 분위기,조규장,영화사 문(주),,(주)쇼박스,2016-01-14,한국,592,652453,멜로/로맨스,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=그날의 분위기%09&section=all&ie=utf8,6.54,  멜로로맨스  코미디   한국 분     감독   조규장 출연   문채원  유연석
335,스킵트레이스: 합동수사,레니 할린,,(주)미디어로그,(주)영화사 빅,2016-08-31,홍콩,244,22350,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=스킵트레이스: 합동수사%09&section=all&ie=utf8,6.54,  액션  코미디   홍콩  미국  중국 분     감독   레니 할린 출연   성룡  판빙빙  조니 녹스빌
336,인카네이트,브래드 페이튼,,판씨네마(주),판씨네마(주),2017-05-25,미국,229,18028,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=인카네이트%09&section=all&ie=utf8,6.55,  공포  스릴러   미국 분     감독   브래드 페이튼 출연   아론 에크하트  데이비드 매주즈  캐리스 밴 허슨
337,스푹스:MI5,바랫 낼러리,,(주)영화사 빅,(주)영화사 빅,2016-03-17,영국,341,41416,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=스푹스:MI5%09&section=all&ie=utf8,6.56,  액션  드라마  스릴러   영국 분     감독   바랫 낼러리 출연   키트 해링턴  제니퍼 엘  피터 퍼스  엘예스 가벨   드라마  스릴러   영국 분     감독   엘릭 라일리  샘 밀러  오마 매드하  롭 베일리  바랫 낼러리  저스틴 채드윅  줄리안 심슨  에드워드 홀  앤디 윌슨  시아란 도넬리  빌 앤더슨  자니 캠벨  실라 웨어  안토니아 버드  제레미 로버링  케네스 글렌낸  앤디 헤이  줄리안 홈즈  찰스 비슨  브렌단 마허  스테판 쉬바르츠  피터 호어  콤 맥카시 출연   피터 퍼스  휴 사이먼  니콜라 워커  루퍼트 펜리 존스  미란다 레이슨  헤미온 노리스  로리 맥그레고  데이빗 오예로워
338,나를 기억해,이한욱,(주)오아시스이엔티,,씨네그루(주)키다리이엔티,2018-04-19,한국,545,140849,미스터리,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=나를 기억해%09&section=all&ie=utf8,6.56,  미스터리  범죄  스릴러   한국 분     감독   이한욱 출연   이유영  김희원   멜로로맨스  드라마  코미디   이탈리아 분     감독   로랜도 라벨로 출연   엠브라 안지올리니  에도아도 레오   일본 분     감독   하시지 미스즈  치마스키   애니메이션   프랑스 분     감독   마리 드 라파렌트   드라마   일본     감독   사사키 아키미츠 출연   다나카 레나  키리타니 켄타  쿠니나카 료코  토모사카 리에  야마모토 코지
339,헤이츠,마크 톤데라이,,(주)더블앤조이픽쳐스,(주)나이너스엔터테인먼트,2012-12-06,미국,75,13747,스릴러,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=헤이츠%09&section=all&ie=utf8,6.57,  공포  스릴러   미국  캐나다 분     감독   마크 톤더레이 출연   엘리자베스 슈  맥스 티에리옷  제니퍼 로렌스   코미디   미국 분     감독   제리 레빈  데비 엘렌  키스 트러스델  켄 휘팅햄  레브  스피로  엘리 르로이  밀리센트 쉘턴  에릭 라누빌  테드 웨스  빅터 넬리 주니어  맷 샤크먼  제이슨 알렉산더 출연   테리 크루즈  티치나 아놀드  티퀀 리치몬드  이마니 하킴  빈센트 마텔라  타일러 제임스 윌리엄스  크리스 록   드라마   핀란드 분     감독   일로나 힐투넨  율리아 칼라바이넨   영국 분     감독   존 스미스  남   관련영화   마지막 탄환  편집  살인 게임  편집  리오 파괴 작전  편집  여   관련영화   나는 누가 날 죽였는지 알고 있다  노멀  명탐정 몽크 시즌     관련영화   우산  각본
340,버닝,이창동,"파인하우스필름(주),나우필름(주)",,CGV아트하우스,2018-05-17,한국,739,528155,미스터리,청소년관람불가,https://movie.naver.com/movie/search/result.nhn?query=버닝%09&section=all&ie=utf8,6.57,  미스터리   한국 분     감독   이창동 출연   유아인  스티븐 연  전종서   다큐멘터리   브라질 분     감독   디에고 베네비데스   다큐멘터리   체코 분     감독   미로슬라브 자넥 출연   드라호미라 비하노바   모험  공포  스릴러   미국  캐나다 분     감독   토니 메이럼 출연   브라이언 매튜스  레아 에이리스  브라이언 백커   드라마  범죄  미스터리  스릴러   미국 분     감독   알란 파커 출연   진 핵크만  윌렘 대포     관련영화   미이라  피라미드의 비밀  음악     관련영화     감독
341,트랜스포머: 사라진 시대,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2014-06-25,미국,1602,5295801,액션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=트랜스포머: 사라진 시대%09&section=all&ie=utf8,6.59,    액션  모험   미국 분     감독   마이클 베이 출연   마크 월버그  니콜라 펠츠  잭 레이너  스탠리 투치  리빙빙
342,마법천자문: 대마왕의 부활을 막아라,윤영기,"(주)디엔에이프로덕션,디앤에이프로덕션",,씨제이엔터테인먼트,2010-08-19,한국,179,123538,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=마법천자문: 대마왕의 부활을 막아라%09&section=all&ie=utf8,6.59,  애니메이션   한국 분     감독   윤영기 출연   정선혜  박신희  은정  윤소라  손종환  최한  문관일  안장혁  엄상현  이장원
343,7호실,이용승,(주)명필름,,롯데쇼핑㈜롯데엔터테인먼트,2017-11-15,한국,629,347790,코미디,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=7호실%09&section=all&ie=utf8,6.59,  블랙코미디   한국 분     감독   이용승 출연   신하균  디오   드라마  멜로로맨스   한국 분     감독   최영철 출연   오지명  한우리
344,퇴마: 무녀굴,김휘,"(주)케이프로덕션,플로우식스(주),버티고필름",,씨네그루(주)다우기술,2015-08-20,한국,331,120802,공포(호러),15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=퇴마: 무녀굴%09&section=all&ie=utf8,6.6,  공포  스릴러   한국 분     감독   김휘 출연   김성균  유선  천호진  차예련  김혜성  임화영
345,조선마술사,김대승,위더스필름(주),,롯데쇼핑㈜롯데엔터테인먼트,2015-12-30,한국,608,628576,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=조선마술사%09&section=all&ie=utf8,6.6,  드라마   한국 분     감독   김대승 출연   유승호  고아라
346,무서운 이야기 2,"김성호,김휘,정범식,민규동","(주)수필름,데이지엔터테인먼트",,롯데쇼핑㈜롯데엔터테인먼트,2013-06-05,한국,337,492465,미스터리,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=무서운 이야기 2%09&section=all&ie=utf8,6.61,  공포   한국 분     감독   김성호  김휘  정범식  민규동 출연   성준  이수혁  백진희  김슬기  정인선  고경표  김지원  박성웅  이세영   공포   한국 분     감독   정범식 출연   고경표  김지원
347,그레이트 월,장예모,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-02-15,미국,598,501286,판타지,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=그레이트 월%09&section=all&ie=utf8,6.62,  액션  판타지   미국  중국 분     감독   장이머우 출연   맷 데이먼  페드로 파스칼  루한  유덕화  경첨  윌렘 대포   액션  모험  판타지     미국 분     감독   조던 복트로버츠 출연   톰 히들스턴  브리 라슨  사무엘  잭슨
348,메카닉: 리크루트,데니스 간젤,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2016-08-31,미국,320,551897,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=메카닉: 리크루트%09&section=all&ie=utf8,6.62,  액션  범죄  스릴러   미국  프랑스 분     감독   데니스 간젤 출연   제이슨 스타뎀  제시카 알바  토미 리 존스
349,8인: 최후의 결사단,진덕삼,차이나필름그룹,씨제이엔터테인먼트,씨제이엔터테인먼트,2010-01-21,중국,160,116788,액션,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=8인: 최후의 결사단%09&section=all&ie=utf8,6.62,  액션  드라마   중국  홍콩 분     감독   진덕삼 출연   견자단  사정봉  양가휘  여명  판빙빙
350,돌핀 : 꿈꾸는 다니엘의 용감한 모험,에두와르도 슐츠,,그린나래미디어(주),팝엔터테인먼트,2013-03-21,페루,197,53744,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=돌핀 : 꿈꾸는 다니엘의 용감한 모험%09&section=all&ie=utf8,6.63,  애니메이션  모험   페루  독일  이탈리아 분     감독   에두와르도 슐츠
