,영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급,url,movie_star,배우
1204,약장수,조치언,(주)26컴퍼니,,"(주)대명문화공장,(주)나이너스엔터테인먼트",2015-04-23,한국,282,43562,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=약장수%09&section=all&ie=utf8,8.61,  드라마   한국 분     감독   조치언 출연   김인권  박철민  이주실  배역명   지하철 약장수영화명   가족끼리 왜 이래   감독   전창근  배역명   약장수영화명   고령화 가족   감독   송해성  배역명   약장수영화명   나에게 오라   감독   김영빈  배역명   부로봇 심판부약장수 목소리영화명   날아라 슈퍼 보드   감독   송정율  배역명   약장수영화명   초승달과 밤배   감독   장길수
1205,레터스 투 줄리엣,게리 위닉,서미트 엔터티인먼트,(주)유니코리아문예투자,(주)넥스트엔터테인먼트월드(NEW),2010-10-06,미국,284,593630,멜로/로맨스,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=레터스 투 줄리엣%09&section=all&ie=utf8,8.62,  멜로로맨스  코미디   미국 분     감독   개리 위닉 출연   아만다 사이프리드  크리스토퍼 이건  바네사 레드그레이브  가엘 가르시아 베르날
1206,카트,부지영,(주)명필름,,(주)리틀빅픽쳐스,2014-11-13,한국,544,799275,드라마,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=카트%09&section=all&ie=utf8,8.62,  드라마   한국 분     감독   부지영 출연   염정아  문정희  김영애  김강우   이란 분     감독   골람 레자 라메자니   가족  코미디  드라마   독일  캐나다 분     감독   스튜어트 길라드 출연   조니 그리핀  랜디 퀘이드  윌 로스하  조던 콘티   액션   영국  미국 분     감독   샘 멘데스 출연   랄프 파인즈  다니엘 크레이그  하비에르 바르뎀  주디 덴치   드라마   미국 분     감독   라민 바흐러니 출연   아마드 라즈비  레티시아 도레라  여   출생년도    관련영화   조춘  남   출생년도    관련영화   세리 로즈  플로더  남   관련영화   쟈니 잉글리쉬  네버다이  에이전트원역  레이디 고디바  프러보키드 실화     관련영화   파사드  감독  보세주르  감독  클랜  감독  여   관련영화   언룰리  배역명    카트 아줌마영화명   그날의 분위기   감독   조규장  배역명   카트영화명   스킨 트레이드   감독   에카차이 우에크롱탐  배역명   카트 아줌마영화명   목격자   감독   조규장  배역명   카트 노인영화명   삼거리 극장   감독   전계수  배역명   카트 목소리영화명   명탐정 빠세   감독   한동일
1207,쿵푸팬더3,"여인영,알레산드로 칼로니",드림웍스 애니메이션,씨제이이앤엠(주),씨제이이앤엠(주),2016-01-28,미국,1365,3984812,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=쿵푸팬더3%09&section=all&ie=utf8,8.63,  애니메이션  액션  모험  코미디  가족   미국  중국 분     감독   여인영  알레산드로 칼로니 출연   잭 블랙  안젤리나 졸리  성룡  세스 로건  루시 리우  데이빗 크로스  제임스 홍  케이트 허드슨  브라이언 크랜스톤  더스틴 호프만   시몬스
1208,새미의 어드벤쳐,벤 스타센,엔웨이브필름,데이지엔터테인먼트,씨제이엔터테인먼트,2010-12-15,벨기에,311,946615,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=새미의 어드벤쳐%09&section=all&ie=utf8,8.64,  애니메이션  모험   벨기에 분     감독   벤 스타센 출연   빌리 웅거  팻 캐럴  카를로스 맥쿨러스 세  이사벨 퍼만  멜라니 그리피스  크리스 앤드류 시울라  신다 애덤스  테리 더글러스  카터 하스팅스  케이틀린 메이어  실리에 레이나모  더글러스 리안 로스  마이클 선 리  조 토마스  윌리 제임스 워렌 주니어  대런 카포지   애니메이션  모험   미국  프랑스  벨기에 분     감독   벤 스타센 출연   멜라니 그리피스  이사벨 퍼만  유리 로웬탈
1209,새미의 어드벤쳐 2,벤 스타센,,데이지엔터테인먼트,씨제이이앤엠(주),2012-08-01,벨기에,486,1452872,애니메이션,전체관람가,https://movie.naver.com/movie/search/result.nhn?query=새미의 어드벤쳐 2%09&section=all&ie=utf8,8.64,  애니메이션  모험   벨기에 분     감독   벤 스타센 출연   빌리 웅거  팻 캐럴  카를로스 맥쿨러스 세  이사벨 퍼만  멜라니 그리피스  크리스 앤드류 시울라  신다 애덤스  테리 더글러스  카터 하스팅스  케이틀린 메이어  실리에 레이나모  더글러스 리안 로스  마이클 선 리  조 토마스  윌리 제임스 워렌 주니어  대런 카포지
1210,명탐정 코난: 11번째 스트라이커,"시즈노 코분,야마모토 야스이치로",,씨제이이앤엠(주),씨제이이앤엠(주),2012-07-19,일본,350,524914,애니메이션,12세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=명탐정 코난: 11번째 스트라이커%09&section=all&ie=utf8,8.64,  애니메이션   일본 분     감독   시즈노 코분 출연   타카야마 미나미  야마자키 와카나  코야마 리키야
1211,늑대소년-확장판,조성희,(주)영화사비단길,,씨제이이앤엠(주),2012-12-06,한국,278,414083,멜로/로맨스,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=늑대소년-확장판%09&section=all&ie=utf8,8.64,  멜로로맨스  드라마  판타지   한국 분     감독   조성희 출연   송중기  박보영
1212,고지전,장훈,(주)티피에스컴퍼니,,(주)쇼박스,2011-07-20,한국,585,2945137,드라마,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=고지전%09&section=all&ie=utf8,8.64,  전쟁  드라마   한국 분     감독   장훈 출연   신하균  고수  이제훈  류승수  고창석  이다윗  류승룡  김옥빈  조진웅  정인기  박영서   드라마  전쟁   미국 분     감독   안소니 만 출연   로버트 라이언  알도 레이
1213,라스트베가스,존 터틀타웁,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2014-05-08,미국,349,169138,코미디,15세이상관람가,https://movie.naver.com/movie/search/result.nhn?query=라스트베가스%09&section=all&ie=utf8,8.65,  코미디   미국 분     감독   존 터틀타웁 출연   로버트 드 니로  마이클 더글라스  모건 프리먼  케빈 클라인
