영화명,개봉일,스크린수,스크린점유율
엣지 오브 다크니스,2010-06-02,230,0.00 
렛 미 인,2010-11-18,228,0.00 
참을 수 없는,2010-10-21,222,0.00 
킥 애스: 영웅의 탄생,2010-04-22,221,0.00 
꿈은 이루어진다,2010-05-27,220,0.00 
두 여자,2010-11-18,216,0.00 
스트리트댄스,2010-06-16,214,0.00 
러블리 본즈,2010-02-25,213,0.00 
오션스,2010-07-28,212,0.00 
쓰리 데이즈,2010-12-22,211,0.00 
돌이킬 수 없는,2010-11-04,204,0.00 
발렌타인 데이,2010-02-11,200,0.00 
파라노말 액티비티 2,2010-10-21,196,0.00 
나탈리,2010-10-28,196,0.00 
솔로몬 케인,2010-03-25,194,0.00 
크레이지,2010-04-08,194,0.00 
무법자,2010-03-18,190,0.00 
데이브레이커스,2010-03-18,189,0.00 
500일의 썸머,2010-01-21,188,0.00 
데블,2010-11-04,187,0.00 
애프터 라이프,2010-09-02,186,0.00 
포스 카인드,2010-02-25,186,0.00 
유령작가,2010-06-02,186,0.00 
웨딩드레스,2010-01-14,185,0.00 
파라노말 액티비티,2010-01-13,184,0.00 
클로이,2010-02-25,183,0.00 
사랑은 너무 복잡해,2010-03-11,180,0.00 
마법천자문: 대마왕의 부활을 막아라,2010-08-19,180,0.00 
사랑은 언제나 진행중,2010-03-11,179,0.00 
라스트 엑소시즘,2010-12-01,171,0.00 
더 로드,2010-01-07,171,0.00 
시,2010-05-13,165,0.00 
내니맥피 2: 유모와마법소동,2010-08-11,164,0.00 
허트 로커,2010-04-22,163,0.00 
스위치,2010-12-01,162,0.00 
들어는 봤니? 모건 부부,2010-01-28,162,0.00 
캣츠 앤 독스 2,2010-09-16,161,0.00 
폐가,2010-08-19,160,0.00 
쏘우 3D,2010-11-18,160,0.00 
하치 이야기,2010-02-18,160,0.00 
꼬마 니콜라,2010-01-28,160,0.00 
8인: 최후의 결사단,2010-01-21,158,0.00 
대병소장,2010-03-11,157,0.00 
나이트메어,2010-05-20,152,0.00 
듀 데이트,2010-11-24,149,0.00 
프로포즈 데이,2010-04-08,148,0.00 
아바타 3D 스페셜에디션,2010-09-04,146,0.00 
센츄리온,2010-08-26,144,0.00 
죽이고 싶은,2010-08-26,144,0.00 
여대생 기숙사,2010-06-23,143,0.00 
극장판 도라에몽: 진구의 인어대해전,2010-07-28,140,0.00 
브라더스,2010-05-05,140,0.00 
엽문2,2010-06-16,140,0.00 
극장판 포켓 몬스터 DP 「환영의 패왕 조로아크」,2010-12-23,139,0.00 
골든 슬럼버,2010-08-26,138,0.00 
디센트: Part 2,2010-08-11,136,0.00 
폭풍전야,2010-04-01,134,0.00 
집 나온 남자들,2010-04-08,133,0.00 
더 콘서트,2010-11-25,130,0.00 
블라인드 사이드,2010-04-15,129,0.00 
스플라이스,2010-07-01,127,0.00 
에브리바디 올라잇,2010-09-02,127,0.00 
위핏,2010-02-18,124,0.00 
바운티 헌터,2010-04-15,123,0.00 
김복남 살인사건의 전말,2010-09-02,123,0.00 
킬러 인사이드 미,2010-07-07,121,0.00 
극장판파워레인저 엔진포스VS 와일드스피릿,2010-01-07,120,0.00 
아메리칸,2010-12-29,117,0.00 
우리가 꿈꾸는 기적: 인빅터스,2010-03-04,117,0.00 
베리드,2010-12-08,116,0.00 
필립모리스,2010-07-01,114,0.00 
된장,2010-10-21,112,0.00 
엑스페리먼트,2010-08-11,111,0.00 
아더와 미니모이 2 : 셀레니아 공주 구출 작전,2010-07-08,111,0.00 
톨스토이의 마지막 인생,2010-12-15,107,0.00 
케로로 더 무비 5: 기적의 사차원섬,2010-04-29,106,0.00 
오션월드 3D,2010-08-11,104,0.00 
내 남자의 순이,2010-05-27,99,0.00 
주문진,2010-01-21,95,0.00 
토마스와 친구들 - 극장판 2,2010-06-10,93,0.00 
대지진,2010-11-04,90,0.00 
소와 함께 여행하는 법,2010-11-03,88,0.00 
엘라의 모험 2: 백설공주 길들이기,2010-02-25,86,0.00 
스페이스 침스 - 자톡의 역습 3D,2010-08-19,84,0.00 
G-포스: 기니피그 특공대,2010-04-22,82,0.00 
공주와 개구리,2010-01-21,80,0.00 
작은 연못,2010-04-15,80,0.00 
런어웨이즈,2010-06-24,76,0.00 
원피스 극장판: 스트롱 월드,2010-02-11,76,0.00 
제로 포커스,2010-03-25,76,0.00 
헤이트 발렌타인데이,2010-02-04,74,0.00 
"울지마, 톤즈",2010-09-09,73,0.00 
콜링 인 러브,2010-03-25,68,0.00 
플래닛 51,2010-10-21,67,0.00 
커플 테라피: 대화가 필요해,2010-02-25,66,0.00 
회복,2010-01-14,66,0.00 
유희왕,2010-01-28,64,0.00 
포켓 몬스터 DP: 아르세우스 초극의 시공으로,2009-12-24,63,0.00 
소명 2-모겐족의 월드컵,2010-04-01,62,0.00 
