순위,영화명,개봉일,좌석수,좌석점유율,관객수,좌석판매율,매출액,누적매출액,누적관객수
116,허니문,2015-07-23,"5,844",0.00 ,"1,774",30.30%,"9,996,000","9,996,000","1,774"
116,카트,2014-11-13,"3,529",0.00 ,"1,743",49.30%,"14,240,800","5,928,169,433","814,424"
116,꽃보다 처녀귀신,2015-01-15,"6,076",0.00 ,"1,567",25.70%,"7,909,000","7,909,000","1,567"
116,카르멘,2015-04-11,"9,940",0.00 ,"1,438",14.40%,"36,335,500","36,335,500","1,438"
116,파일 : 4022일의 사육,2015-12-10,"11,563",0.00 ,"1,414",12.20%,"9,090,000","9,090,000","1,414"
116,나를 잊지 말아요,2016-01-07,"1,561",0.00 ,"1,398",89.50%,"10,620,000","10,620,000","1,398"
116,굿 다이노,2016-01-07,"1,288",0.00 ,"1,270",98.60%,"10,462,000","10,462,000","1,270"
116,맥베스,2015-01-24,"5,296",0.00 ,"1,236",23.30%,"26,683,000","27,093,000","1,318"
116,무서운 집,2015-07-30,"11,756",0.00 ,"1,039",8.80%,"9,371,000","9,371,000","1,039"
116,나는 야한 여자가 좋다 3,2015-03-26,"4,547",0.00 ,"1,031",22.60%,"6,289,000","6,289,000","1,031"
116,라보엠,2014-12-20,"6,426",0.00 ,"1,004",15.60%,"15,451,000","28,401,000","1,866"
116,메리 위도우,2015-07-18,"6,463",0.00 ,978,15.10%,"23,871,500","24,136,500","1,031"
116,나도 때론 포르노그라피의 주인공이고 싶다,2015-11-12,"6,862",0.00 ,961,14.00%,"6,148,000","6,148,000",961
116,일 트로바토레 잘츠부르크 페스티벌,2015-07-25,"9,137",0.00 ,945,10.30%,"23,993,500","24,113,500",969
116,오르페오와 에우리디체,2015-02-07,"6,896",0.00 ,924,13.30%,"19,686,500","19,846,500",944
116,젊은엄마 : 내 나이가 어때서,2015-05-07,"2,844",0.00 ,916,32.20%,"4,515,000","4,515,000",916
116,7공주 대리운전,2015-05-28,"4,135",0.00 ,894,21.60%,"4,308,000","4,308,000",894
116,세비야의 이발사,2015-06-06,"6,261",0.00 ,880,14.00%,"21,699,000","21,924,000",925
116,카발레리아 루스티카나 & 팔리아치,2015-11-21,"6,472",0.00 ,879,13.50%,"20,914,500","20,914,500",879
116,젊은 엄마 3,2015-09-03,"4,127",0.00 ,820,19.80%,"4,137,000","4,137,000",820
116,돈 조반니,2015-06-06,"10,341",0.00 ,814,7.80%,"21,033,500","21,033,500",814
116,짓2: 붉은 낙타,2015-08-07,"5,422",0.00 ,807,14.80%,"4,292,000","4,292,000",807
116,마님,2015-08-14,"3,215",0.00 ,791,24.60%,"4,088,000","4,088,000",791
116,운명의 힘,2015-10-24,"9,612",0.00 ,784,8.10%,"19,302,000","19,302,000",784
116,포인트 브레이크,2016-01-07,776,0.00 ,776,100.00%,"6,208,000","6,208,000",776
116,없던 일,2015-08-20,"3,465",0.00 ,772,22.20%,"3,799,000","3,799,000",772
116,젊은 처제,2015-09-10,"11,035",0.00 ,770,6.90%,"4,913,000","4,913,000",770
116,호프만 이야기,2015-08-22,"3,834",0.00 ,737,19.20%,"17,796,000","17,796,000",737
116,착한 여자,2015-03-25,"3,625",0.00 ,708,19.50%,"2,959,000","2,959,000",708
116,오디세오,2015-10-22,"28,959",0.00 ,662,2.20%,"9,880,000","12,000,000",862
116,엑소더스: 신들과 왕들,2014-12-03,"5,282",0.00 ,650,12.30%,"5,652,000","12,448,333,926","1,511,845"
116,엘사 앤 프레드,2015-12-06,"5,720",0.00 ,644,11.20%,"1,932,000","1,932,000",644
