영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급
해리 포터와 죽음의 성물1,데이빗 예이츠,헤이데이필름,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-12-15,미국,718,2809053,미스터리,전체관람가
메이즈 러너,웨스 볼,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-09-18,미국,648,2812427,액션,12세이상관람가
호빗: 뜻밖의 여정,피터 잭슨,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-12-13,미국,1028,2818993,어드벤처,12세이상관람가
호빗: 다섯 군대 전투,피터 잭슨,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-12-17,미국,926,2836774,어드벤처,12세이상관람가
앤트맨,페이튼 리드,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-09-03,미국,949,2839921,액션,12세이상관람가
솔트,필립 노이스,콜럼비아 픽쳐스 코포레이션,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-07-29,미국,556,2921331,스릴러,15세이상관람가
엑스맨: 아포칼립스,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-05-25,미국,1262,2938818,액션,12세이상관람가
드래곤 길들이기 2,딘 데블로이스,,씨제이이앤엠(주),씨제이이앤엠(주),2014-07-23,미국,829,3000056,애니메이션,전체관람가
레드: 더 레전드,딘 패리소트,,블루미지,롯데쇼핑㈜롯데엔터테인먼트,2013-07-18,미국,739,3004647,액션,15세이상관람가
토르: 다크 월드,앨런 테일러,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-10-30,미국,733,3039889,액션,12세이상관람가
캐리비안의 해적: 죽은 자는 말이 없다,"요아킴 뢰닝,에스펜 샌버그",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-05-24,미국,1357,3049894,액션,12세이상관람가
나우 유 씨 미 2,존 추,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2016-07-13,미국,1200,3100113,범죄,12세이상관람가
캐리비안의 해적: 낯선 조류,롭 마샬,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-05-19,미국,960,3130046,액션,12세이상관람가
그래비티,알폰소 쿠아론,,"주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)","주식회사 해리슨앤컴퍼니,워너브러더스 코리아(주)",2013-10-17,미국,636,3227452,SF,12세이상관람가
터미네이터 제니시스,앨런 테일러,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-02,미국,1113,3239371,액션,15세이상관람가
분노의 질주: 더 세븐,제임스 완,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-04-01,미국,983,3247558,액션,15세이상관람가
스타워즈: 깨어난 포스,J.J. 에이브럼스,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-12-17,미국,940,3273879,액션,12세이상관람가
데드풀,팀 밀러,,이십세기폭스코리아(주),이십세기폭스코리아(주),2016-02-17,미국,1036,3317196,액션,청소년관람불가
슈퍼배드 3,"피에르 꼬팽,카일 발다",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-07-26,미국,1057,3324861,애니메이션,전체관람가
맨 인 블랙 3,배리 소넨필드,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-05-24,미국,770,3379762,액션,12세이상관람가
코코,리 언크리치,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-01-11,미국,1177,3510040,애니메이션,전체관람가
리얼 스틸,숀 레비,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-12,미국,603,3579666,액션,12세이상관람가
라라랜드,다미엔 차젤레,,판씨네마(주),판씨네마(주),2016-12-07,미국,727,3595861,드라마,12세이상관람가
인턴,낸시 마이어스,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-24,미국,496,3610642,코미디,12세이상관람가
분노의 질주: 더 익스트림,F. 게리 그레이,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-04-12,미국,1469,3653238,액션,15세이상관람가
미이라,알렉스 커츠먼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-06-06,미국,1257,3689325,액션,15세이상관람가
데드풀 2,데이빗 레이치,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-05-16,미국,1576,3784636,액션,청소년관람불가
매드 맥스: 분노의 도로,조지 밀러,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-05-14,미국,799,3842441,액션,15세이상관람가
캡틴 아메리카: 윈터 솔져,"조 루소,안소니 루소",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-03-26,미국,1106,3963220,액션,15세이상관람가
쿵푸팬더3,"여인영,알레산드로 칼로니",드림웍스 애니메이션,씨제이이앤엠(주),씨제이이앤엠(주),2016-01-28,미국,1365,3984812,애니메이션,전체관람가
혹성탈출: 반격의 서막,맷 리브스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-07-10,미국,922,4002134,액션,12세이상관람가
미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2018-07-25,미국,1957,4136025,액션,15세이상관람가
어메이징 스파이더맨 2,마크 웹,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-23,미국,1312,4168350,액션,12세이상관람가
엑스맨: 데이즈 오브 퓨처 패스트,브라이언 싱어,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-05-22,미국,1056,4313871,액션,12세이상관람가
해리포터와 죽음의 성물2,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-07-13,미국,757,4400298,판타지,전체관람가
아이언맨 2,존 파브로,"파라마운트 픽쳐스,마블 엔터프라이즈",씨제이엔터테인먼트,씨제이엔터테인먼트,2010-04-29,미국,757,4498335,SF,12세이상관람가
신비한 동물사전,데이빗 예이츠,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-11-16,미국,1431,4666993,어드벤처,12세이상관람가
엣지 오브 투모로우,더그 라이만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-06-04,미국,801,4697142,액션,12세이상관람가
주토피아,"바이론 하워드,리치 무어",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-02-17,미국,661,4703245,애니메이션,전체관람가
어메이징 스파이더맨,마크 웹,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-06-28,미국,1118,4853123,액션,12세이상관람가
토르: 라그나로크,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-10-25,미국,1640,4857152,액션,12세이상관람가
마션,리들리 스콧,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-10-08,미국,1132,4875494,액션,12세이상관람가
킹스맨: 골든 서클,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2017-09-27,미국,1687,4945484,액션,청소년관람불가
인사이드 아웃,피트 닥터,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-07-09,미국,777,4968687,애니메이션,전체관람가
쿵푸팬더 2,여인영,,씨제이이앤엠(주),씨제이이앤엠(주),2011-05-26,미국,948,5062722,애니메이션,전체관람가
미녀와 야수,빌 콘돈,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2017-03-16,미국,1627,5137993,멜로/로맨스,전체관람가
월드 워 Z,마크 포스터,플랜 비 엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-06-20,미국,964,5237525,드라마,15세이상관람가
트랜스포머: 사라진 시대,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2014-06-25,미국,1602,5295801,액션,12세이상관람가
블랙 팬서,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-02-14,미국,1620,5399070,액션,12세이상관람가
앤트맨과 와스프,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-07-04,미국,1775,5438152,액션,12세이상관람가
닥터 스트레인지,스콧 데릭슨,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-10-26,미국,1503,5446379,액션,12세이상관람가
쥬라기 월드,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-06-11,미국,1290,5546792,액션,12세이상관람가
쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-06-06,미국,1972,5660904,액션,12세이상관람가
레미제라블,톰 후퍼,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2012-12-19,미국,696,5911890,드라마,12세이상관람가
인셉션,크리스토퍼 놀란,"워너 브러더스 픽쳐스,레젼데리 픽쳐스",워너브러더스 코리아(주),워너브러더스 코리아(주),2010-07-21,미국,528,5926948,드라마,12세이상관람가
킹스맨 : 시크릿 에이전트,매튜 본,,이십세기폭스코리아(주),이십세기폭스코리아(주),2015-02-11,미국,706,6125154,액션,청소년관람불가
미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2015-07-30,미국,1202,6126488,액션,15세이상관람가
다크 나이트 라이즈,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-07-19,미국,1210,6396528,액션,15세이상관람가
어벤져스,조스 웨던,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-04-26,미국,967,7074867,액션,12세이상관람가
스파이더맨: 홈 커밍,존 와츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-07-05,미국,1965,7257973,액션,12세이상관람가
미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,씨제이이앤엠(주),씨제이이앤엠(주),2011-12-15,미국,1038,7575899,액션,15세이상관람가
트랜스포머 3,마이클 베이,,씨제이이앤엠(주),씨제이이앤엠(주),2011-06-29,미국,1409,7784807,액션,12세이상관람가
캡틴 아메리카: 시빌 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-04-27,미국,1991,8677249,액션,12세이상관람가
아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2013-04-25,미국,1381,9001309,액션,12세이상관람가
인터스텔라,크리스토퍼 놀란,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-11-06,미국,1342,10273803,SF,12세이상관람가
겨울왕국,"크리스 벅,제니퍼 리",,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-01-16,미국,1010,10296101,애니메이션,전체관람가
어벤져스: 에이지 오브 울트론,조스 웨던,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2015-04-23,미국,1843,10494499,액션,12세이상관람가
어벤져스: 인피니티 워,"안소니 루소,조 루소",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2018-04-25,미국,2553,11211627,액션,12세이상관람가
썬더와 마법저택,"벤 스타센,제레미 드그루손",,씨제이이앤엠(주),씨제이이앤엠(주),2013-12-24,벨기에,422,904145,애니메이션,전체관람가
새미의 어드벤쳐,벤 스타센,엔웨이브필름,데이지엔터테인먼트,씨제이엔터테인먼트,2010-12-15,벨기에,311,946615,애니메이션,전체관람가
새미의 어드벤쳐 2,벤 스타센,,데이지엔터테인먼트,씨제이이앤엠(주),2012-08-01,벨기에,486,1452872,애니메이션,전체관람가
몬스터 왕국,에스벤 토프트 야콥슨,,(주)스마일이엔티,씨너스엔터테인먼트(주),2014-05-01,스웨덴,160,34888,애니메이션,전체관람가
마인드스케이프,호르헤 도라도,,(주)스마일이엔티,오퍼스픽쳐스,2014-10-23,스페인,199,30257,스릴러,15세이상관람가
아프리카 마법여행,조르디 롬파르트,,(주)씨씨에스미디어,롯데쇼핑㈜롯데엔터테인먼트,2011-01-20,스페인,150,46025,어드벤처,전체관람가
플래닛 51,"호르헤 블랑코,마르코스 마르티네즈,자비에르 아바드",이라이온 애니메이션,(주)쇼박스,(주)쇼박스,2010-10-21,스페인,67,46330,애니메이션,전체관람가
레드라이트,로드리고 코르테스,,데이지엔터테인먼트,씨제이이앤엠(주),2012-08-23,스페인,197,49925,미스터리,15세이상관람가
화이트 고릴라,안드레스 G. 슈에,,(주)소나무픽쳐스,"(주)마인스 엔터테인먼트,(주)박수엔터테인먼트",2013-10-31,스페인,182,71796,애니메이션,전체관람가
테드: 황금도시 파이티티를 찾아서,엔리케 가토,,(주)포커스엔터테인먼트,(주)싸이더스,2012-09-20,스페인,301,206320,애니메이션,전체관람가
줄리아의 눈,기옘 모랄레스,,(주)더블앤조이픽쳐스,씨너스엔터테인먼트(주),2011-03-31,스페인,232,236359,미스터리,청소년관람불가
저스틴,마누엘 시실라,,(주)스마일이엔티,(주)넥스트엔터테인먼트월드(NEW),2013-12-31,스페인,332,266253,애니메이션,전체관람가
더 임파서블,후안 안토니오 바요나,,롯데쇼핑㈜롯데엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-01-17,스페인,408,622572,액션,12세이상관람가
토르: 마법망치의 전설,"오스카 요나손,토비 젠켈,거나 칼슨",,(주)스마일이엔티,"롯데쇼핑㈜롯데엔터테인먼트,(주)스마일이엔티",2012-02-09,아이슬란드,383,765315,애니메이션,전체관람가
토마스와 친구들: 블루마운틴 미스터리,그렉 티어넌,,그린나래미디어(주),(주)팝엔터테인먼트,2013-10-17,영국,49,12054,애니메이션,전체관람가
토마스와 친구들: 그레이트 레이스,데이비드 스토튼,,KBS 미디어,와이드 릴리즈(주),2017-11-30,영국,249,13314,애니메이션,전체관람가
토마스와 친구들: 잃어버린 왕관,롭 실베스트리,,씨제이이앤엠(주),씨제이이앤엠(주),2014-11-13,영국,110,15202,애니메이션,전체관람가
아이 인 더 스카이,개빈 후드,,판씨네마(주),판씨네마(주),2016-07-14,영국,205,15258,전쟁,12세이상관람가
스파이 게임,마이클 앱티드,,와이즈앤와이드엔터테인먼트(주),메가박스중앙(주)플러스엠,2017-09-14,영국,203,15986,액션,15세이상관람가
프라이버시,존 크로울리,,(주)스마일이엔티,(주)인벤트스톤,2014-03-20,영국,165,16936,범죄,15세이상관람가
토마스와 친구들 - 극장판 3,그렉 티어넌,,(주)코카반,에이원엔터테인먼트,2011-05-05,영국,110,18845,애니메이션,전체관람가
마릴린 먼로와 함께한 일주일,사이먼 커티스,,데이지엔터테인먼트,(주)싸이더스,2012-02-29,영국,81,19387,드라마,15세이상관람가
토너먼트,스콧 만,"버즈필름,맨메이드,스토리텔",㈜코리아스크린,(주)씨타마운틴픽쳐스,2010-09-02,영국,31,20427,액션,청소년관람불가
원라이프,"마이클 건톤,마샤 홈즈",유나이티드픽처스(주),유나이티드픽처스(주),씨제이이앤엠(주),2011-08-17,영국,158,24348,다큐멘터리,전체관람가
벨 아미,"데클란 도넬란,닉 오머로드",,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2012-08-30,영국,103,30373,드라마,청소년관람불가
막달라 마리아: 부활의 증인,가스 데이비스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-03-28,영국,111,30833,드라마,12세이상관람가
다키스트 아워,조 라이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-01-17,영국,233,37300,드라마,12세이상관람가
스트리트 댄스 2: 라틴배틀,"맥스 기와,다니아 파스퀴니",,판씨네마(주),판씨네마(주),2012-07-12,영국,133,39394,드라마,12세이상관람가
더 포리너,마틴 캠벨,,"(주)더블앤조이픽쳐스,케이티하이텔(주)","(주)더블앤조이픽쳐스,TCO(주)더콘텐츠온",2018-02-07,영국,156,40882,액션,15세이상관람가
스푹스:MI5,바랫 낼러리,,(주)영화사 빅,(주)영화사 빅,2016-03-17,영국,341,41416,액션,15세이상관람가
저지드레드 3D,피트 트래비스,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2012-12-06,영국,184,48341,SF,청소년관람불가
다이애나,올리버 히르비겔,,"유성에프이엔터프라이즈(주),(주)퓨어픽쳐스인터내셔널코리아",(주)영화사 빅,2014-03-06,영국,279,56872,드라마,15세이상관람가
디센트: Part 2,존 해리스,셀라도르,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2010-08-11,영국,135,61784,공포(호러),청소년관람불가
블리츠,엘리어트 레스터,,(유)조이앤컨텐츠그룹,팝엔터테인먼트,2011-12-07,영국,123,65493,스릴러,청소년관람불가
레지던트,안티 조키넨,,"(주)쇼박스,(주)케이앤엔터테인먼트",(주)쇼박스,2011-06-02,영국,200,66216,스릴러,청소년관람불가
원 챈스,데이빗 프랭클,,우성엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2014-03-13,영국,329,80977,코미디,12세이상관람가
팅커 테일러 솔저 스파이,토마스 알프레드슨,,(주)화인픽쳐스,팝엔터테인먼트,2012-02-09,영국,187,87155,스릴러,15세이상관람가
우먼 인 블랙,제임스 왓킨스,,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),"(주)넥스트엔터테인먼트월드(NEW),KT&G 상상마당 영화사업팀 컴퍼니에스에스(주)",2012-02-16,영국,237,117188,드라마,15세이상관람가
스트리트댄스,"맥스 기와,다니아 파스퀴니",,(유)마스엔터테인먼트코리아,(주)시너지하우스 (시너지),2010-06-16,영국,211,130153,드라마,12세이상관람가
오션월드 3D,장-자크 망텔로,,㈜케이디미디어,㈜케이디미디어,2010-08-11,영국,102,132602,다큐멘터리,전체관람가
철의 여인,필리다 로이드,,필라멘트픽쳐스,필라멘트픽쳐스,2012-02-23,영국,162,144338,드라마,12세이상관람가
킥 애스: 영웅의 탄생,매튜 본,"마브 필름,플랜 비 엔터테인먼트,라이온스 게이트 필름즈",데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2010-04-22,영국,221,153849,액션,청소년관람불가
엣지 오브 다크니스,마틴 캠벨,워너 브러더스 픽쳐스,데이지엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2010-06-02,영국,235,197296,범죄,15세이상관람가
송 포 유,폴 앤드류 윌리엄스,,(주)유이케이,(주)넥스트엔터테인먼트월드(NEW),2013-04-18,영국,317,216852,코미디,12세이상관람가
노미오와 줄리엣,캘리 애스버리,,(주)쇼박스,(주)쇼박스,2011-04-14,영국,291,221176,애니메이션,전체관람가
세이빙 산타,"레온 주센,아론 실먼",,㈜코리아스크린,(주)영화사 빅,2013-12-19,영국,297,235688,애니메이션,전체관람가
커뮤터,자움 콜렛 세라,,(주)미디어로그,메가박스중앙(주)플러스엠,2018-01-24,영국,575,286044,액션,15세이상관람가
"러브, 로지",크리스티안 디터,,우성엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2014-12-10,영국,379,292430,코미디,15세이상관람가
패딩턴,폴 킹,,(주)누리픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2015-01-07,영국,408,305100,코미디,전체관람가
킹 아서: 제왕의 검,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2017-05-17,영국,588,412843,판타지,12세이상관람가
47 미터,조하네스 로버츠,,(주)비엠컬쳐스,씨네그루(주)키다리이엔티,2017-07-19,영국,733,590036,스릴러,15세이상관람가
킹스 스피치,톰 후퍼,,(주)영화사그랑프리,(주)화앤담이엔티,2011-03-17,영국,317,806248,드라마,12세이상관람가
베이비 드라이버,에드가 라이트,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-09-14,영국,778,821419,액션,15세이상관람가
셜록: 유령신부,더글라스 맥키넌,,메가박스중앙(주)플러스엠,메가박스중앙(주)플러스엠,2016-01-02,영국,891,1278894,범죄,12세이상관람가
이미테이션 게임,모튼 틸덤,,(주)미디어로그,메가박스중앙(주)플러스엠,2015-02-17,영국,541,1743774,드라마,15세이상관람가
007 스펙터,샘 멘데스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-11-11,영국,1105,1820842,액션,15세이상관람가
어바웃 타임,리차드 커티스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-12-05,영국,568,3375735,멜로/로맨스,15세이상관람가
"하늘을 나는 강아지, 비포와 친구들",이도 엔젤,,영화사 마농(주),(주)팝엔터테인먼트,2014-03-13,이스라엘,142,14746,애니메이션,전체관람가
글래디에이터: 로마 영웅 탄생의 비밀 3D,이기니오 스트라피,,(유)조이앤컨텐츠그룹,(주)에스비에스콘텐츠허브,2013-03-14,이탈리아,275,44198,애니메이션,전체관람가
하늘이 보내준 딸,비자이,,(주)포커스엔터테인먼트,(주)싸이더스,2012-04-19,인도,107,16875,가족,전체관람가
피케이: 별에서 온 얼간이,라즈쿠마르 히라니,,주식회사 더쿱,(주)와우픽쳐스,2015-09-03,인도,184,42088,코미디,15세이상관람가
빌리와 용감한 녀석들 2 ,닉힐 아드바니,,㈜코리아스크린,(주)에스비에스콘텐츠허브,2013-02-21,인도,289,306837,애니메이션,전체관람가
레이드 : 첫번째 습격,가렛 에반스,,㈜코리아스크린,씨제이이앤엠(주),2012-05-17,인도네시아,120,21705,액션,청소년관람불가
극장판 빰바라빤쮸: 바나나 왕국의 비밀,벤피 네코,,(주)스마일이엔티,(주)스마일이엔티,2017-02-22,일본,140,10681,애니메이션,전체관람가
파워캐치 완다: 버그본의 지구 습격,하시모토 미츠오,,SMG 홀딩스 ,"(주)에이원엔터테인먼트,(주)삼지애니메이션",2017-03-09,일본,178,10881,애니메이션,전체관람가
손오공: 돌원숭이의 탄생,"스기노 아키오,후미히로 요시무라",,에이원엔터테인먼트,에이원엔터테인먼트,2012-09-13,일본,83,10965,애니메이션,전체관람가
극장판 메이저 : 우정의 강속구,카토 타카오,,에이원엔터테인먼트,에이원엔터테인먼트,2011-10-20,일본,105,11162,애니메이션,전체관람가
나루토 질풍전 극장판 4 - 더 로스트 타워,무라타 마사히코,,애니박스 엔터테인먼트,애니박스 엔터테인먼트,2010-12-02,일본,60,11221,애니메이션,전체관람가
키즈모노가타리 III : 냉혈편,신보 아키유키,,(주)애니플러스,(주)박수엔터테인먼트,2017-05-18,일본,81,11302,애니메이션,15세이상관람가
페어리테일: 봉황의 무녀,후지모리 마사야,,(주)머스트씨무비,(주)나이너스엔터테인먼트,2013-02-28,일본,50,11830,애니메이션,전체관람가
제로 포커스,이누도 잇신,,거원시네마(주),씨제이엔터테인먼트,2010-03-25,일본,76,12260,드라마,15세이상관람가
동쪽의 에덴 극장판 ① 더 킹오브 에덴,카미야마 켄지,"아스믹에이스엔터테인먼트,프로덕션 I.G.",애니박스 엔터테인먼트,애니박스 엔터테인먼트,2010-01-28,일본,53,12460,애니메이션,전체관람가
극장판 토리코 : 미식신의 스페셜메뉴,자코 아키후미,,중앙애니메이션,(주)미디어데이,2013-11-28,일본,38,12635,애니메이션,전체관람가
사다코 2,하나부사 츠토무,,(주)도키엔터테인먼트,(주)미디어데이,2014-03-13,일본,100,12696,공포(호러),15세이상관람가
원피스 3D : 밀짚모자 체이스,사토 히로유키,,얼리버드,(주)미디어데이,2012-01-26,일본,111,13475,애니메이션,전체관람가
호비와 후후의 대모험: 무지개꽃을 구하라,히라바야시 이사무,,(주)머스트씨무비,(주)머스트씨무비,2013-09-26,일본,45,15050,애니메이션,전체관람가
호비와 무지개 오아시스 대모험,히라바야시 이사무,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2017-09-07,일본,103,15101,애니메이션,전체관람가
키즈모노가타리 II : 열혈편,신보 아키유키,,(주)애니플러스,(주)박수엔터테인먼트,2016-10-20,일본,69,15800,애니메이션,15세이상관람가
호비와 매직 아일랜드,"카와마타 히로시,히로 타카시마",,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2018-06-06,일본,114,15942,애니메이션,전체관람가
예전부터 계속 좋아했어 ~고백실행위원회~,야나기자와 테츠야,,(주)엔케이컨텐츠,(주)디스테이션,2016-09-29,일본,77,16187,애니메이션,전체관람가
가구야공주 이야기,다카하타 이사오,,대원미디어(주),롯데쇼핑㈜롯데엔터테인먼트,2014-06-04,일본,77,16439,애니메이션,전체관람가
호비와 동화나라 대모험,히라바야시 이사무,,(주)머스트씨무비릴리징컴퍼니,(주)머스트씨무비릴리징컴퍼니,2016-12-08,일본,81,16620,애니메이션,전체관람가
주문은 토끼입니까?? ~디어 마이 시스터~,하시모토 히로유키,,(주)애니플러스,(주)애니플러스,2018-01-18,일본,84,16655,애니메이션,전체관람가
캡틴 하록,아라마키 신지,,(주)영화사 조은,(주)박수엔터테인먼트,2014-01-16,일본,120,17977,애니메이션,12세이상관람가
은혼,후쿠다 유이치,,(주)미디어캐슬,(주)라이크 콘텐츠,2017-12-07,일본,137,18172,액션,12세이상관람가
부도리의 꿈 ,스기이 기사부로,,(주)미디어캐슬,(주)나이너스엔터테인먼트,2013-01-30,일본,117,18940,애니메이션,전체관람가
드래곤볼 Z : 부활의 F,야마무로 타다요시,,씨제이이앤엠(주),씨제이이앤엠(주),2015-10-01,일본,76,22025,애니메이션,전체관람가
마징가 Z: 인피니티,시미즈 준지,,우키픽쳐스 주식회사,(주)이수C&E,2018-05-17,일본,332,22407,애니메이션,12세이상관람가
꼬마마녀 요요와 네네,히라오 타카유키,,씨너스엔터테인먼트(주),"㈜T-JOY,씨너스엔터테인먼트(주)",2013-12-25,일본,90,23057,애니메이션,전체관람가
하이 스피드! ?프리! 스타팅 데이즈-,타케모토 야스히로,,(주)애니플러스,(주)박수엔터테인먼트,2016-03-24,일본,60,23496,애니메이션,전체관람가
진격의 거인: 홍련의 화살,아라키 테츠로,,(주)애니플러스,(주)박수엔터테인먼트,2015-01-28,일본,82,24450,애니메이션,15세이상관람가
키즈모노가타리 I : 철혈편,신보 아키유키,,(주)애니플러스,(주)박수엔터테인먼트,2016-06-30,일본,74,24492,애니메이션,15세이상관람가
하이큐!! 콘셉트의 싸움,미츠나카 스스무,,(주)에이원엔터테인먼트,(주)팝엔터테인먼트,2018-01-11,일본,97,24898,애니메이션,12세이상관람가
사다코 대 카야코,시라이시 코지,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2017-01-04,일본,131,25531,공포(호러),15세이상관람가
쾌걸 조로리의 대대대대모험,이와사키 토모코,,얼리버드,(주)미디어데이,2013-06-05,일본,136,26278,애니메이션,전체관람가
