영화명,감독,제작사,수입사,배급사,개봉일,국적,전국스크린수,전국관객수,장르,등급
여대생 기숙사,스튜어트 헨들러,카쯔 엔터테인먼트,판씨네마(주),씨제이엔터테인먼트,2010-06-23,미국,143,65570,공포(호러),청소년관람불가
패트리어트 데이,피터 버그,,"(주)비트윈에프앤아이,(주)미니엄쇼",(주)이수C&E,2017-04-06,미국,375,66074,드라마,15세이상관람가
다크 플레이스,질스 파겟-브레너,,(주)누리픽쳐스,"(주)스톰픽쳐스코리아,주식회사 우리네트웍스",2015-07-15,미국,268,66075,드라마,청소년관람불가
라스트 스탠드,김지운,디 보나벤츄라 픽쳐스,데이지엔터테인먼트,씨제이이앤엠(주),2013-02-21,미국,300,66698,액션,청소년관람불가
스티브 잡스,대니 보일,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-01-21,미국,384,68815,드라마,12세이상관람가
이퀄스,드레이크 도리머스,,(주)모멘텀엔터테인먼트,씨네그루(주)키다리이엔티,2016-08-31,미국,357,68897,드라마,15세이상관람가
하이힐을 신고 달리는 여자,더글라스 맥그래스,,(주)누리픽쳐스,필라멘트픽쳐스,2012-02-02,미국,169,69047,코미디,15세이상관람가
어카운턴트,개빈 오코너,,워너브러더스 코리아(주),워너브러더스 코리아(주),2016-10-13,미국,375,69529,액션,15세이상관람가
인보카머스,스콧 데릭슨,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-08-21,미국,196,69786,공포(호러),청소년관람불가
미트 페어런츠 3,폴 웨이츠,,씨제이이앤엠(주),씨제이이앤엠(주),2011-03-31,미국,196,70053,코미디,15세이상관람가
돈비 어프레이드 : 어둠 속의 속삭임,트로이 닉시,,,(주)화앤담이엔티,2011-08-25,미국,232,70506,공포(호러),15세이상관람가
모뉴먼츠 맨: 세기의 작전,조지 클루니,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-02-27,미국,319,71483,액션,12세이상관람가
언더월드: 블러드 워,안나 포에스터,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2016-11-30,미국,183,72071,액션,15세이상관람가
파워레인져스: 더 비기닝,딘 이스라엘리트,,(주)넥스트엔터테인먼트월드(NEW),(주)넥스트엔터테인먼트월드(NEW),2017-04-20,미국,479,72495,액션,12세이상관람가
위자,스틸즈 화이트,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-04-16,미국,337,73549,미스터리,15세이상관람가
베니싱,브래드 앤더슨,,(주)누리픽쳐스,(주)넥스트엔터테인먼트월드(NEW),2011-03-31,미국,181,73582,미스터리,12세이상관람가
피라냐 3DD,존 걸레거,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2012-08-01,미국,269,74044,공포(호러),청소년관람불가
피치 퍼펙트: 언프리티 걸즈,엘리자베스 뱅크스,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-05-28,미국,297,75598,코미디,15세이상관람가
아더 우먼,닉 카사베츠,,이십세기폭스코리아(주),이십세기폭스코리아(주),2014-11-13,미국,331,77341,코미디,15세이상관람가
호텔 아르테미스,드류 피어스,,판씨네마(주),판씨네마(주),2018-07-18,미국,466,77662,액션,15세이상관람가
엑스 마키나,알렉스 가랜드,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-21,미국,207,78049,SF,청소년관람불가
모데카이,데이빗 코엡,,(주)나이너스엔터테인먼트,(주)나이너스엔터테인먼트,2015-02-18,미국,290,78070,액션,15세이상관람가
오 마이 그랜파,댄 마저,,(주)수키픽쳐스,판씨네마(주),2016-03-17,미국,396,79701,코미디,청소년관람불가
로스트 인 더스트,데이빗 맥킨지,,(주)메인타이틀픽쳐스,메가박스중앙(주)플러스엠,2016-11-03,미국,354,79812,범죄,15세이상관람가
프렌즈 위드 베네핏,윌 글럭,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-10-27,미국,210,80197,코미디,청소년관람불가
씬 시티: 다크히어로의 부활,"프랭크 밀러,로버트 로드리게즈",,(주)드림웨스트픽쳐스,메가박스중앙(주)플러스엠,2014-09-11,미국,345,82571,액션,청소년관람불가
더 이퀄라이저,안톤 후쿠아,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-01-28,미국,255,82779,액션,청소년관람불가
뷰티풀 크리처스,리차드 라그라브네스,,데이지엔터테인먼트,롯데쇼핑㈜롯데엔터테인먼트,2013-04-18,미국,278,82995,스릴러,15세이상관람가
스위치,"조쉬 고든,윌 스펙",보나피데프로덕션즈,(주)새인컴퍼니,씨너스엔터테인먼트(주),2010-12-01,미국,163,83346,멜로/로맨스,15세이상관람가
허큘리스,브렛 래트너,,워너브러더스 코리아(주),워너브러더스 코리아(주),2014-08-06,미국,278,86528,액션,15세이상관람가
갤로우즈,"트래비스 클러프,크리스 로핑",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-09-03,미국,299,87301,공포(호러),15세이상관람가
사우스포,안톤 후쿠아,,(주)스마일이엔티,씨네그루(주)다우기술,2015-12-03,미국,335,87426,드라마,15세이상관람가
락 오브 에이지,아담 쉥크만,,워너브러더스 코리아(주),워너브러더스 코리아(주),2012-08-02,미국,243,87915,뮤지컬,15세이상관람가
콜드 라잇 오브 데이,마브룩 엘 메크리,,씨너스엔터테인먼트(주),씨너스엔터테인먼트(주),2012-05-17,미국,245,88522,액션,15세이상관람가
더 콜,브래드 앤더슨,,(주)포커스엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2013-06-20,미국,241,88953,스릴러,청소년관람불가
페이스 블라인드,줄리앙 마그넷,,(주)영화사폴,(주)마인스 엔터테인먼트,2012-06-21,미국,179,88977,범죄,청소년관람불가
타워 하이스트,브렛 래트너,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2011-11-17,미국,213,90840,액션,12세이상관람가
마마,안드레스 무시에티,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-01-23,미국,164,91143,공포(호러),15세이상관람가
포커스,"글렌 피카라,존 레쿼",,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-02-26,미국,349,91164,코미디,15세이상관람가
샤크 나이트 3D,데이비드 R. 엘리스,,,(주)화앤담이엔티,2011-09-15,미국,239,92505,스릴러,15세이상관람가
7번째 아들,세르게이 보드로프,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2015-02-11,미국,358,92598,어드벤처,12세이상관람가
프리스트,스콧 찰스 스튜어트,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-06-09,미국,228,93336,액션,15세이상관람가
바스티유 데이,제임스 왓킨스,,(주)더블앤조이픽쳐스,롯데쇼핑㈜롯데엔터테인먼트,2016-10-13,미국,422,96305,액션,15세이상관람가
하치 이야기,라세 할스트롬,"스션 필름,인페르노 디스트리뷰션",(주)코콘그룹,(주)프라임엔터테인먼트,2010-02-18,미국,163,96683,드라마,전체관람가
다크타워: 희망의 탑,니콜라이 아르셀,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2017-08-23,미국,497,97017,액션,15세이상관람가
쓰리 빌보드,마틴 맥도나,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-03-15,미국,110,97079,코미디,15세이상관람가
레이디 버드,그레타 거윅,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2018-04-04,미국,345,97777,코미디,15세이상관람가
타운,벤 애플렉,,워너브러더스 코리아(주),워너브러더스 코리아(주),2011-01-27,미국,158,98866,드라마,청소년관람불가
딥워터 호라이즌,피터 버그,,(주)우성엔터테인먼트,메가박스중앙(주)플러스엠,2017-01-25,미국,433,100021,액션,12세이상관람가
R.I.P.D. : 알.아이.피.디.,로베르트 슈벤트케,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2013-08-22,미국,268,101460,액션,15세이상관람가
박스트롤,"그레이엄 애나블,안소니 스타치",,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2014-11-06,미국,346,101665,애니메이션,전체관람가
워 호스,스티븐 스필버그,,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-02-09,미국,229,102195,전쟁,12세이상관람가
다이버전트 시리즈: 얼리전트,로베르트 슈벤트케,,(유)조이앤시네마,씨네그루(주)키다리이엔티,2016-05-12,미국,393,103554,액션,12세이상관람가
라스트 엑소시즘,다니엘 스탬,스트라이크엔터테인먼트,코리아 코어 컨텐츠,(주)시너지하우스 (시너지),2010-12-01,미국,171,104936,공포(호러),15세이상관람가
니드 포 스피드,스캇 워프,,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-16,미국,349,105340,액션,15세이상관람가
공주와 개구리,"존 머스커,론 클레멘츠",월트디즈니 애니메이션 스튜디오,한국소니픽쳐스릴리징브에나비스타영화㈜,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-01-21,미국,81,105654,애니메이션,전체관람가
더 시그널,윌리엄 유뱅크,,(유)조이앤컨텐츠그룹,롯데쇼핑㈜롯데엔터테인먼트,2014-07-09,미국,263,105818,SF,12세이상관람가
웨이 백,피터 위어,,(주)케이앤엔터테인먼트,(주)쇼박스,2011-03-17,미국,175,105925,드라마,12세이상관람가
우리가 꿈꾸는 기적: 인빅터스,클린트 이스트우드,워너 브러더스 픽쳐스,워너브러더스 코리아(주),워너브러더스 코리아(주),2010-03-04,미국,121,106443,드라마,전체관람가
제로 다크 서티,캐서린 비글로우,,(주)유니코리아문예투자,(주)에스비에스콘텐츠허브,2013-03-07,미국,258,107104,전쟁,15세이상관람가
레드 스패로,프란시스 로렌스,,이십세기폭스코리아(주),이십세기폭스코리아(주),2018-02-28,미국,389,108344,스릴러,청소년관람불가
맨 프롬 UNCLE,가이 리치,,워너브러더스 코리아(주),워너브러더스 코리아(주),2015-10-28,미국,361,108551,액션,12세이상관람가
피터와 드래곤,데이빗 로워리,,월트디즈니컴퍼니코리아(주),월트디즈니컴퍼니코리아(주),2016-09-28,미국,167,109137,어드벤처,전체관람가
